"","Area","Crop_Group","N_t_Item"
"1","Austria","Cereals",17066.9343727348
"2","Belgium","Cereals",3567.0825395516
"3","Bulgaria","Cereals",14163.0670343447
"4","Cyprus","Cereals",3516.96751405187
"5","Czechia","Cereals",39685.851419807
"6","Denmark","Cereals",50805.2754922731
"7","Estonia","Cereals",10737.6295453447
"8","Finland","Cereals",42090.8693365082
"9","France","Cereals",126530.301340071
"10","Germany","Cereals",184368.649047957
"11","Greece","Cereals",8469.58311153738
"12","Hungary","Cereals",24775.6606695832
"13","Ireland","Cereals",12022.7168491565
"14","Italy","Cereals",26765.6657782722
"15","Latvia","Cereals",14164.5050551625
"16","Lithuania","Cereals",31241.0022663355
"17","Luxembourg","Cereals",762.870043833878
"18","Malta","Cereals",35.9505204445748
"19","Netherlands","Cereals",3381.00264573048
"20","Poland","Cereals",182859.518100735
"21","Portugal","Cereals",4863.09880157852
"22","Romania","Cereals",24881.4271007311
"23","Slovakia","Cereals",14415.5115889065
"24","Slovenia","Cereals",1292.63691310513
"25","Spain","Cereals",237936.722036396
"26","Sweden","Cereals",23732.3765662816
"27","United_Kingdom","Cereals",63848.1243095649
"28","Austria","Maize",26977.3120358743
"29","Belgium","Maize",8390.22233123917
"30","Bulgaria","Maize",52034.6739032425
"31","Czechia","Maize",13334.9590247896
"32","France","Maize",227017.141356789
"33","Germany","Maize",59548.303625255
"34","Greece","Maize",35877.1846864198
"35","Hungary","Maize",185148.743927823
"36","Italy","Maize",164537.011899929
"37","Lithuania","Maize",296.999020574838
"38","Luxembourg","Maize",42.7678589627767
"39","Netherlands","Maize",2939.84480516003
"40","Poland","Maize",45198.7959461817
"41","Portugal","Maize",15236.49525402
"42","Romania","Maize",373170.953379708
"43","Slovakia","Maize",22709.2876107035
"44","Slovenia","Maize",5916.07199034048
"45","Spain","Maize",51143.2313429871
"46","Austria","Oil_crops",5212.68024668868
"47","Belgium","Oil_crops",648.588868951874
"48","Bulgaria","Oil_crops",51806.8292574383
"49","Cyprus","Oil_crops",11.4782539789526
"50","Czechia","Oil_crops",22910.4599037073
"51","Denmark","Oil_crops",8466.90028800385
"52","Estonia","Oil_crops",4219.40616266297
"53","Finland","Oil_crops",7285.31531958226
"54","France","Oil_crops",138443.339907751
"55","Germany","Oil_crops",98645.4650779396
"56","Greece","Oil_crops",779.913598299302
"57","Hungary","Oil_crops",45657.455966926
"58","Ireland","Oil_crops",344.347619368578
"59","Italy","Oil_crops",9999.65230904033
"60","Latvia","Oil_crops",5617.5925355815
"61","Lithuania","Oil_crops",10181.8864707415
"62","Luxembourg","Oil_crops",322.876532513831
"63","Netherlands","Oil_crops",222.813165473785
"64","Poland","Oil_crops",42433.2144242382
"65","Portugal","Oil_crops",525.50147481287
"66","Romania","Oil_crops",73216.9463278143
"67","Slovakia","Oil_crops",15619.0003422892
"68","Slovenia","Oil_crops",200.194253221144
"69","Spain","Oil_crops",42413.9714690382
"70","Sweden","Oil_crops",6076.7226947396
"71","United_Kingdom","Oil_crops",38837.3475291966
"72","Bulgaria","Rice",474.619901477833
"73","France","Rice",1810.01773399015
"74","Greece","Rice",2428.72801313629
"75","Hungary","Rice",252.210443349754
"76","Italy","Rice",23639.7099507389
"77","Portugal","Rice",2655.11093596059
"78","Romania","Rice",583.785615763547
"79","Spain","Rice",11139.8174055829
"80","Austria","soya",553.638226394808
"81","Bulgaria","soya",1.94779370418355
"82","Czechia","soya",213.371946685561
"83","France","soya",1001.85211855068
"84","Germany","soya",22.1340193657221
"85","Greece","soya",0.132804116194333
"86","Hungary","soya",794.854769442448
"87","Italy","soya",3937.84125133626
"88","Poland","soya",6.50740169352231
"89","Romania","soya",3928.36789104773
"90","Slovakia","soya",266.405057085832
"91","Slovenia","soya",5.0022883766532
"92","Spain","soya",13.9444322004049
"93","Portugal","sugarcane",7.77529431818182
"94","Spain","sugarcane",37.8397656818182
"95","Austria","Wheat",31900.1115573641
"96","Belgium","Wheat",22568.4066521332
"97","Bulgaria","Wheat",108777.635066691
"98","Cyprus","Wheat",604.088528527025
"99","Czechia","Wheat",87605.7277443757
"100","Denmark","Wheat",76931.8903559282
"101","Estonia","Wheat",10183.0785133516
"102","Finland","Wheat",21556.1744360265
"103","France","Wheat",588029.010427299
"104","Germany","Wheat",349147.251772708
"105","Greece","Wheat",87200.0501817965
"106","Hungary","Wheat",120474.129654202
"107","Ireland","Wheat",9808.45170646032
"108","Italy","Wheat",215858.912422823
"109","Latvia","Wheat",24111.9767092527
"110","Lithuania","Wheat",38538.8079620692
"111","Luxembourg","Wheat",1419.7033241408
"112","Malta","Wheat",291.451136420535
"113","Netherlands","Wheat",15816.8289803606
"114","Poland","Wheat",243891.355303296
"115","Portugal","Wheat",11732.0292068359
"116","Romania","Wheat",223336.539714056
"117","Slovakia","Wheat",39133.4803769581
"118","Slovenia","Wheat",3596.39492683847
"119","Spain","Wheat",215251.573093159
"120","Sweden","Wheat",40371.5872237907
"121","United_Kingdom","Wheat",205823.353023137
