Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CS","Capital Stock","2","Afghanistan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1879.84","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","2","Afghanistan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","3435.11","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","2","Afghanistan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","3669.76","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","2","Afghanistan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","6396.61","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","3","Albania","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1367.49","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","3","Albania","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","2460.23","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","3","Albania","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","2850.22","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","3","Albania","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","3693.01","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","4","Algeria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1098.37","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","4","Algeria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","2183.66","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","4","Algeria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","3697.93","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","4","Algeria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","4504.74","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","6","Andorra","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","8.19","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","6","Andorra","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","17.61","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","6","Andorra","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","23.03","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","6","Andorra","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","26.27","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","7","Angola","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1778.72","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","7","Angola","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","4378.42","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","7","Angola","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","6063.06","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","7","Angola","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","9220.41","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","258","Anguilla","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","4.76","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","258","Anguilla","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","6.08","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","258","Anguilla","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","7.35","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","258","Anguilla","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","8.53","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","8","Antigua and Barbuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","21.37","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","8","Antigua and Barbuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","27.7","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","8","Antigua and Barbuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","35.63","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","8","Antigua and Barbuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","39","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","9","Argentina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","18722.26","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","9","Argentina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","17156.59","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","9","Argentina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","26247.11","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","9","Argentina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","38692.96","IM","FAO data based on imputation methodology",""
