"","Area","N_t_Wheat","N_t_Rice","N_t_Maize","N_t_soya","N_t_palm","N_t_Cereals","N_t_oil_crops","N_t_sugarcane","N_t_Roots"
"1","Afghanistan",52487.7121954743,4536.41341992851,2396.35812799735,NA,NA,924.477692823121,145.560870569966,158.313608652212,86.4173041250218
"2","American_Samoa",NA,NA,0.149772382999835,NA,NA,NA,NA,2.13723371680487,0.0925899687053806
"3","Angola",60.7915838636591,149.806329321178,17145.2684300976,16.8376390955579,233.927011893993,1391.19199084695,691.585284513848,744.0739606654,3351.9667377305
"4","Antigua_and_Barbuda",NA,NA,0.748861914999173,NA,NA,NA,NA,NA,0.061726645803587
"5","Armenia",2757.11821266921,NA,63.7031869025963,NA,NA,289.967632367473,NA,NA,205.117644005319
"6","Bahamas",NA,NA,3.14522004299653,NA,NA,NA,NA,197.892010815266,0.080244639544663
"7","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,0.0185179937410761
"8","Barbados",NA,NA,6.939453745659,NA,NA,NA,0.387507863794391,688.664197637125,0.179007272830402
"9","Belize",NA,126.461247952468,353.912141028609,1.38068640583575,NA,12.2141258091531,1.059188161038,1837.30858521325,1.21601492233066
"10","Benin",NA,813.867463023021,16315.9537833637,28.8484883170559,213.585532598863,1351.7700579722,1790.10549372698,110.265428426266,1354.39988955772
"11","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,0.339496551919728
"12","Bhutan",118.996291818227,907.282683985703,773.823978832478,5.05129172866737,NA,47.1422399651524,NA,32.5334465780297,19.1352601991119
"13","Bosnia_and_Herzegovina",2692.47218370101,NA,5193.1576840086,21.8047426287475,NA,165.683545186617,15.0482220440154,NA,269.967658086568
"14","Botswana",7.52780889545737,NA,2078.29151063337,NA,NA,453.055293171594,72.7223091054138,NA,NA
"15","Brunei_Darussalam",NA,16.0519244089778,0.948558425665617,NA,NA,NA,NA,NA,0.864173041250214
"16","Burkina_Faso",NA,1401.05383700099,6025.86717142382,22.8935766235936,NA,14472.0799218944,3059.7620925205,316.627217304426,24.0548738696579
"17","Burundi",232.818831818269,593.223293375267,2795.75114933024,6.17380100170457,12.2048875770779,358.562652701184,155.003145517756,190.451271208612,509.38679916494
"18","Cabo_Verde",NA,NA,764.488166958823,NA,NA,NA,NA,102.903845623938,2.7653537320007
"19","Cameroon",11.9513667000045,710.262759609424,7518.87317135771,51.7308398479191,570.324225737203,2455.06989948391,2637.09434855117,10686.1685840244,1026.82275294267
"20","Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.0185179937410761
"21","Central_African_Republic",NA,540.880061606861,2371.39606416405,NA,40.6829585902597,344.297533335106,1229.45911638926,989.460054076328,1161.68312869434
"22","Chad",48.5039232954728,3125.51905535505,2122.12489472466,NA,NA,8776.1830629776,5655.65143822153,277.048815141372,173.945687874508
"23","Comoros",NA,462.609482369171,42.9347497932859,NA,NA,NA,13.239852012975,NA,61.5106025432744
"24","Congo",NA,64.8707119049777,198.298635091781,NA,73.2293254624673,NA,499.110128567174,949.88165191328,611.792697668062
"25","Cook_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.925899687053805
"26","Côte_d'Ivoire",NA,11915.622652687,8883.27461842236,18.5214030051137,1617.14760396282,718.037538357538,1032.02385978601,2092.90590638226,1674.35995808061
"27","Cuba",NA,6982.9360727838,3153.03316897635,NA,NA,2.14282908932512,193.753931897195,82394.317623044,623.661338541122
"28","Cyprus",689.394034225497,NA,NA,NA,NA,3235.54684001174,18.9053594947455,NA,650.456921528436
"29","Democratic_People's_Republic_of_Korea",1526.25678636421,18669.0859973981,12381.1836613197,1739.88937320765,NA,829.660566804898,NA,NA,1160.46094110743
"30","Democratic_Republic_of_the_Congo",188.945416400071,15612.8344854165,36990.0842155118,132.096891251017,2034.14792951299,378.601165870787,6342.25078822123,2849.64495573983,12260.3932960916
"31","Djibouti",NA,NA,0.149772382999835,NA,NA,NA,NA,NA,NA
"32","Dominica",NA,NA,3.22010623449645,NA,NA,NA,NA,17.4144969517434,0.678993103839457
"33","Equatorial_Guinea",NA,NA,NA,NA,35.5975887664772,NA,NA,NA,114.743661884287
"34","Eritrea",599.68957324568,NA,562.669880866546,NA,NA,1559.80815070154,18.5099589605787,NA,25.073363525417
"35","Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.66047511009838
"36","French_Guiana",NA,306.312592308712,1.24810319166529,NA,NA,NA,NA,5.93676032445799,10.4564937991276
"37","French_Polynesia",NA,NA,NA,NA,NA,NA,NA,3.32458578169646,2.19129592602734
"38","Gabon",NA,17.447743922802,399.393021332892,13.3354101636818,40.6829585902597,NA,232.504718276634,316.627217304426,286.035103989242
"39","Gambia",NA,537.3905128223,341.980274516289,NA,35.5975887664772,645.909911210855,1525.48929047059,NA,15.4316614508967
"40","Georgia",2217.54763555083,NA,4570.62877406978,8.37953172322266,NA,190.821991588814,151.24431923895,NA,209.697761123945
"41","Ghana",NA,4019.96019981357,17341.1457449975,NA,1627.31834361039,3040.98059619366,2815.8904769059,435.362423793585,4074.57588949478
"42","Grenada",NA,NA,7.58846740532495,NA,NA,NA,NA,11.8735206489159,0.179007272830403
"43","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,1021.12277580677,0.740719749643044
"44","Guam",NA,NA,0.349468893666281,NA,NA,NA,NA,NA,NA
"45","Guinea-Bissau",NA,2604.94816767434,649.013659665949,NA,96.6220266518667,336.730285465374,235.423944183885,15.8313608652213,12.2403938628513
"46","Guyana",NA,4048.64429082266,77.3823978832479,NA,NA,NA,51.4222935255156,3498.7307512139,24.6906583214349
"47","Haiti",NA,1814.56536797141,6739.75723499256,NA,NA,857.131635730044,335.840148621804,1345.6656735438,486.405968932266
"48","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,4.20358457922427
"49","Iran_(Islamic_Republic_of)",306980.913425496,73087.2598570799,39358.3055220526,1300.43167227148,NA,69335.4078550228,22064.5324351905,4070.97886448077,48475.1411425369
"50","Iraq",31042.5109091026,3489.54878456039,1815.990143873,0.561254636518597,NA,6838.68597936042,161.461609914329,NA,239.190752488899
"51","Jamaica",NA,0.453641341992851,38.5663886224574,NA,NA,NA,30.7810413140677,3117.98652240533,7.61089542758225
"52","Kazakhstan",259983.615739643,2515.96467366804,1862.16996196461,19.6439122781509,NA,10932.27932555,3481.11230975293,NA,982.070934735068
"53","Kyrgyzstan",11477.6579835316,217.363993790267,1467.89416371755,0.449003709214878,NA,432.171893103915,503.902309149431,NA,425.876820057268
"54","Lesotho",614.227815854776,NA,3936.01822523566,NA,NA,163.044804222335,NA,NA,32.7151222759011
"55","Liberia",NA,5007.50250584416,140.062140168679,41.6450940296799,164.765982290552,NA,103.335430345171,1939.34170598961,413.568526884033
"56","Libya",3999.51710552877,NA,49.9241276666116,NA,NA,1133.86270669431,155.003145517755,NA,58.6403135134076
"57","Luxembourg",1229.81169910373,NA,37.8673751232919,NA,NA,806.010668367368,219.099612715889,NA,82.9582750687803
"58","Maldives",NA,NA,0.524203340499421,NA,NA,0.281628966025586,NA,NA,0.0864173041250218
"59","Mali",68.2935240000257,12308.9994871705,4020.2152665454,7.5208121293492,NA,10734.9125216856,2579.96277249908,310.927927392946,28.9312788881413
"60","Malta",266.901983006652,NA,NA,NA,NA,38.9703641619191,NA,NA,178.425337090031
"61","Martinique",NA,NA,NA,NA,NA,NA,NA,245.38609341093,0.678993103839456
"62","Mauritius",NA,NA,2.52116844716388,NA,NA,NA,1.588782241557,5782.87949684803,3.90112401478669
"63","Micronesia_(Federated_States_of)",NA,2.96611646687634,1.07336874483215,NA,NA,0.0244894753065727,NA,NA,6.85783034877851
"64","Mongolia",4619.41017962447,NA,NA,NA,NA,10.1814993587076,NA,NA,48.6591148869677
"65","Montenegro",2279.94306984073,NA,4069.52263783115,NA,NA,98.564693238412,NA,NA,87.009460653958
"66","Montserrat",NA,NA,0.374430957499587,NA,NA,NA,NA,NA,0.253079247794707
"67","Mozambique",38.8031386363782,6427.60927920885,31349.0072580784,NA,NA,2370.08529780128,3699.95091736642,2137.23371680487,5754.29989309573
"68","Namibia",17.4355436272793,NA,1098.33080866545,NA,NA,1619.67879545727,8.83517929451212,NA,0.493813166428696
"69","Nepal",17074.4157503701,54438.4964406074,20444.1799001157,110.89830362971,NA,1785.56437881518,NA,4601.06840825926,756.892130843582
"70","New_Caledonia",0.129343795454594,NA,29.954476599967,NA,NA,NA,NA,NA,2.62338244665244
"71","Niger",142.614468868236,767.700732603287,153.491730510997,NA,NA,44735.8490202091,4654.46028746476,263.038060775652,48.2270283663425
"72","Niue",NA,NA,NA,NA,NA,NA,NA,NA,0.0432086520625109
"73","Occupied_Palestinian_Territory",560.498403222938,NA,25.7109257483049,NA,NA,56.7666037606354,0.193753931897195,NA,9.59849342245774
"74","Oman",11.459860277277,NA,103.767299355052,NA,NA,13.469211418615,NA,NA,4.30851987709036
