"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots"
"1","Austria",31900.1115573641,NA,26977.3120358743,553.638226394808,NA,17066.9343727348,5212.68024668868,NA,NA
"2","Belgium",22568.4066521332,NA,8390.22233123917,NA,NA,3567.0825395516,648.588868951874,NA,NA
"3","Bulgaria",108777.635066691,474.619901477833,52034.6739032425,1.94779370418355,NA,14163.0670343447,51806.8292574383,NA,NA
"4","Cyprus",604.088528527025,NA,NA,NA,NA,3516.96751405187,11.4782539789526,NA,NA
"5","Czechia",87605.7277443757,NA,13334.9590247896,213.371946685561,NA,39685.851419807,22910.4599037073,NA,NA
"6","Denmark",76931.8903559282,NA,NA,NA,NA,50805.2754922731,8466.90028800385,NA,NA
"7","Estonia",10183.0785133516,NA,NA,NA,NA,10737.6295453447,4219.40616266297,NA,NA
"8","Finland",21556.1744360265,NA,NA,NA,NA,42090.8693365082,7285.31531958226,NA,NA
"9","France",588029.010427299,1810.01773399015,227017.141356789,1001.85211855068,NA,126530.301340071,138443.339907751,NA,NA
"10","Germany",349147.251772708,NA,59548.303625255,22.1340193657221,NA,184368.649047957,98645.4650779396,NA,NA
"11","Greece",87200.0501817965,2428.72801313629,35877.1846864198,0.132804116194333,NA,8469.58311153738,779.913598299302,NA,NA
"12","Hungary",120474.129654202,252.210443349754,185148.743927823,794.854769442448,NA,24775.6606695832,45657.455966926,NA,NA
"13","Ireland",9808.45170646032,NA,NA,NA,NA,12022.7168491565,344.347619368578,NA,NA
"14","Italy",215858.912422823,23639.7099507389,164537.011899929,3937.84125133626,NA,26765.6657782722,9999.65230904033,NA,NA
"15","Latvia",24111.9767092527,NA,NA,NA,NA,14164.5050551625,5617.5925355815,NA,NA
"16","Lithuania",38538.8079620692,NA,296.999020574838,NA,NA,31241.0022663355,10181.8864707415,NA,NA
"17","Luxembourg",1419.7033241408,NA,42.7678589627767,NA,NA,762.870043833878,322.876532513831,NA,NA
"18","Malta",291.451136420535,NA,NA,NA,NA,35.9505204445748,NA,NA,NA
"19","Netherlands",15816.8289803606,NA,2939.84480516003,NA,NA,3381.00264573048,222.813165473785,NA,NA
"20","Poland",243891.355303296,NA,45198.7959461817,6.50740169352231,NA,182859.518100735,42433.2144242382,NA,NA
"21","Portugal",11732.0292068359,2655.11093596059,15236.49525402,NA,NA,4863.09880157852,525.50147481287,7.77529431818182,NA
"22","Romania",223336.539714056,583.785615763547,373170.953379708,3928.36789104773,NA,24881.4271007311,73216.9463278143,NA,NA
"23","Slovakia",39133.4803769581,NA,22709.2876107035,266.405057085832,NA,14415.5115889065,15619.0003422892,NA,NA
"24","Slovenia",3596.39492683847,NA,5916.07199034048,5.0022883766532,NA,1292.63691310513,200.194253221144,NA,NA
"25","Spain",215251.573093159,11139.8174055829,51143.2313429871,13.9444322004049,NA,237936.722036396,42413.9714690382,37.8397656818182,NA
"26","Sweden",40371.5872237907,NA,NA,NA,NA,23732.3765662816,6076.7226947396,NA,NA
"27","United_Kingdom",205823.353023137,NA,NA,NA,NA,63848.1243095649,38837.3475291966,NA,NA
"28","Argentina",280071,5313,220110,50094,0,33907.8662597294,24002.5366253028,25047,NA
"29","Australia",263406,0,6006,0,0,165132.222023409,85944.1758566458,70356,NA
"30","Bangladesh",14316,1113069,3579,0,0,0,7007.95438196752,8351,NA
"31","Brazil",68910,163087,675318,87286,4594,59426.4786817207,693.587674994166,535201,NA
"32","Canada",590688,0,156462,8790,0,172552.328687183,305975.303091592,NA,NA
"33","Chile",45720,2032,30480,0,0,3533.95956192081,1335.40861088546,NA,NA
"34","China,_mainland",4258200,5496400,4862200,453000,6040,194114.546287385,1291057.90166017,398421.791239087,NA
"35","Egypt",302400,113400,340200,1260,0,56700,5339.66983491746,32090.1765958335,NA
"36","Eu-27-2006",2793960,42984,1289520,10746,0,1167980.93228148,630099.920041025,45.6150609162241,NA
"37","India",2892330,4131900,344325,137730,0,619785,473031.859420319,688650,NA
"38","Indonesia",0,1057500,352500,9400,305500,NA,4938.95422142765,47000,NA
"39","Iran_(Islamic_Republic_of)",414000,86250,63250,2300,0,92000,42063.3291574009,10614.3579729548,NA
"40","Malaysia",0,81000,2700,0,351000,NA,1.67288568007081,1620,NA
"41","Mexico",59360,5600,686560,0,13440,19357.6980216622,423.114399501708,68318.1914070658,NA
"42","Morocco",63280,904,6780,0,0,42478.9409995159,420.509475945676,2800.85166561911,NA
"43","Pakistan",1003971,249006,127152,0,0,15894,25728.5127204722,174238.481943671,NA
"44","Philippines",0,208000,104000,0,2600,0,85.3877958368976,10400,NA
"45","ROW-2006",943410,1015980,943410,36285,50799,401247.627385556,223021.557925373,255666.926446883,NA
"46","Russian_Federation",401520,11472,69788,3824,0,153393.355821173,21418.3081669359,NA,NA
"47","South_Africa",30888,0,205920,429,0,4204.79311196149,18194.5925108168,49335,NA
"48","Thailand",0,310200,72380,1034,31020,2593.52689907212,1814.29183970329,51700,NA
"49","Turkey",583905,12663,95676,1407,0,164691.856284143,29063.2719450625,NA,NA
"50","United_States_of_America",1603980,227430,5793480,95760,0,339159.865005662,148480.528143406,48814.1728518124,NA
"51","Viet_Nam",0,763640,134760,7861,0,0,9932.26935946463,44920,NA
"52","World",16614315,15097830,16586556,907206,764993,NA,NA,NA,NA
"53","Afghanistan",63223.2472182056,5583.27805529663,3419.80274516289,NA,NA,1518.34746900751,85.6392378985602,292.880176006593,0
"54","Albania",1940.15693181891,NA,1222.41722798082,1.12250927303719,NA,21.5752277450905,16.7920074310902,NA,0
"55","Algeria",46145.3391853583,9.84052757246031,9.33581187365636,NA,NA,4975.75322568296,230.967603750249,NA,0
"56","American_Samoa",NA,NA,0.149772382999835,NA,NA,NA,NA,2.4538609341093,0
"57","Angola",103.475036363675,270.230657876357,28018.8183220771,39.2878245563018,233.927011893993,2987.05477156859,2400.09453905452,949.881651913276,0
"58","Antigua_and_Barbuda",NA,NA,0.998482553332231,NA,NA,NA,NA,NA,0
"59","Armenia",2591.73923580097,NA,63.1789835620969,NA,NA,303.461333261395,NA,NA,0
"60","Azerbaijan",14501.3796273918,41.8745854147247,795.491050239788,0.594929914709713,NA,1101.68965851031,136.906528278558,NA,0
"61","Bahamas",NA,NA,2.49620638333058,NA,NA,NA,NA,182.060649950045,0
"62","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,0
"63","Barbados",NA,NA,7.23899851165867,NA,NA,NA,0.14208621672461,530.350588984912,0
"64","Belarus",9866.78448618098,NA,967.255011476765,NA,NA,7225.66866815488,1525.70887826006,NA,0
"65","Belize",NA,101.650556094244,370.786496179924,1.70621409501654,NA,13.5426798445347,0.710431083623048,1861.53056733704,0
"66","Benin",NA,911.051396673028,17588.5197975856,108.765536010939,223.756272246428,1146.81151676267,1510.0018928476,137.811996331751,0
"67","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,0
"68","Bhutan",174.614123863702,921.450252051018,754.927696510666,7.25702245018546,NA,70.8725415372213,NA,32.4542897737036,0
"69","Bolivia_(Plurinational_State_of)",3344.57186286489,5876.36525771186,8861.73235733421,5332.58132739776,NA,1206.41889965886,1373.9349649406,9171.26566283133,0
"70","Bosnia_and_Herzegovina",1897.42174180071,NA,4901.62574049942,35.6677321507568,NA,156.34081035716,17.7995278769556,NA,0
"71","Botswana",4.94093298636549,NA,1507.03467980817,NA,NA,336.730285465374,65.1659057614232,NA,NA
"72","Brunei_Darussalam",NA,38.2105591909363,2.09681336199768,NA,NA,NA,NA,NA,0
"73","Burkina_Faso",NA,1542.38056277569,11126.390636547,28.7979753997692,NA,15636.5238608778,4011.95933236487,356.205619467479,0
"74","Burundi",258.687590909188,715.357500834881,2870.63734083016,21.3276761877067,55.9390680616071,459.177661998238,161.461609914329,199.950087727745,0
"75","Cabo_Verde",NA,NA,730.464873954027,NA,NA,NA,NA,116.835443185333,0
"76","Cambodia",NA,87811.5290469954,2628.4304354556,361.346960083403,138.759401011728,NA,175.618563871617,656.684848689378,0
"77","Cameroon",14.0984737045508,1744.7743922802,14034.5459593187,68.1082501415318,732.293254624674,3795.86867251877,3060.67919446482,9023.87569317612,0
"78","Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0
"79","Central_African_Republic",NA,872.387196140098,3629.40919517116,NA,30.5122189426948,355.703506459142,1821.05445511536,1021.12277580677,0
"80","Chad",48.2452357045636,3821.19550104501,4304.78279424508,NA,NA,12009.0693100424,6277.21405174773,307.919968828554,0
"81","China,_Taiwan_Province_of",1.73320685909156,9184.1434460845,490.978833537291,0.477066441040808,NA,11.3692389110764,316.865180224673,869.141711500648,0
"82","Colombia",440.881261186529,15001.9540751914,15066.1531713577,153.222515769577,1678.17204184821,286.153396588475,29.218092930097,32459.0391819632,0
"83","Comoros",NA,593.223293375267,49.9241276666115,NA,NA,NA,14.0794523845295,NA,0
"84","Congo",NA,64.5566525143673,287.063734083016,NA,109.843988193701,68.8766492997357,547.238605250437,1187.3520648916,0
"85","Cook_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0
"86","Costa_Rica",NA,1705.62165491743,156.262519596494,NA,492.324823380028,NA,2.29921332518005,4219.05767058147,0
"87","Côte_d'Ivoire",NA,12911.3305028735,9670.45330140566,3.36752781911158,2229.7617651546,635.973306605213,937.368605589836,1812.45334865486,0
"88","Croatia",4541.28652716989,NA,7920.91217145692,352.524037197331,NA,376.813434173407,564.741043765151,NA,0
"89","Cuba",NA,4984.08763349976,3049.36571787663,NA,NA,14.7426641345568,143.455411176683,31433.1669978968,0
"90","Democratic_People's_Republic_of_Korea",2069.50072727351,20358.0276091253,11956.8285761535,1683.76390955579,NA,1019.33767542313,NA,NA,0
"91","Democratic_Republic_of_the_Congo",173.941536127338,14597.4106845973,37026.2043218786,180.460203279825,1725.50666416798,409.329335011709,6122.09465387084,3166.27217304425,0
"92","Djibouti",NA,NA,0.149772382999835,NA,NA,NA,NA,NA,NA
"93","Dominica",NA,NA,3.54461306432942,NA,NA,NA,NA,17.4144969517434,0
"94","Dominican_Republic",NA,5315.03644022747,554.906679014387,NA,44.7512544492857,1.84895538564624,28.4818279888877,6599.22361986316,0
"95","Ecuador",252.142794859186,12477.1608430985,9753.3023912684,112.250927303719,1457.95518699914,274.245389220654,206.283352826547,7221.95019949664,0
"96","El_Salvador",NA,146.351676024463,6088.14752068794,9.54132882081615,NA,545.803058526412,NA,4827.77349584923,0
"97","Equatorial_Guinea",NA,NA,NA,NA,35.5975887664772,NA,NA,NA,0
"98","Eritrea",480.848493981999,NA,726.795450570531,NA,NA,2435.47219686983,30.6777058837225,NA,0
"99","Ethiopia",37756.4886435596,224.063927456623,38095.2296676038,35.4712930279753,NA,17491.0873363693,781.073767192765,1978.92010815266,0
"100","Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0
"101","Fiji",NA,191.925183150822,12.2314112783198,NA,NA,0.0612236882664317,3.8750786379439,4591.09465091417,0
"102","French_Guiana",NA,308.406321579448,2.24658574499752,NA,NA,NA,NA,13.4566567354381,0
"103","French_Polynesia",NA,NA,NA,NA,NA,NA,NA,3.16627217304425,0
"104","Gabon",NA,17.3081619714196,511.722308582768,18.2688384186803,40.6829585902597,NA,216.410225000374,284.964495573983,0
"105","Gambia",NA,640.227515503295,774.398106300645,NA,35.5975887664772,970.21791032697,1420.8621672461,NA,0
"106","Georgia",1446.06363318236,NA,2953.01215148007,6.17380100170457,NA,160.58973432285,288.047512087163,NA,0
"107","Ghana",NA,4361.93598070049,19794.9166198115,NA,3386.85630263912,3183.63178985445,6200.12582071024,435.362423793585,0
"108","Grenada",NA,NA,7.48861914999173,NA,NA,NA,NA,12.665088692177,0
"109","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,997.37573450894,0
"110","Guam",NA,NA,0.399393021332892,NA,NA,NA,NA,NA,NA
"111","Guatemala",18.0822626045522,317.060402565157,14408.5525617331,72.9631027474176,457.683284140421,199.528000060301,36.1157329056371,14937.0472899449,0
"112","Guinea",NA,26465.9244286928,11473.8875271705,NA,3152.92929074513,1962.21920893914,2671.29837599542,415.573222712058,0
"113","Guinea-Bissau",NA,2268.20670996426,399.393021332892,NA,96.6220266518667,287.751334852229,258.338575862927,15.8313608652213,0
"114","Guyana",NA,3562.82930903616,74.8861914999173,NA,NA,NA,22.772545462317,3356.24850342691,0
"115","Haiti",NA,1849.46085581701,6565.02278815942,NA,NA,704.072415063965,322.923219828658,1424.82247786991,0
"116","Honduras",52.3066308818378,184.108593873406,8133.38925880602,4.20940977388948,813.659171805194,353.872918179975,1.86003774621307,6015.91712878408,0
"117","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,0
"118","Iraq",39152.3668841056,4388.10759658469,4106.2595005788,0.168376390955579,NA,6391.75305501547,316.464755432085,NA,0
"119","Israel",2196.25764681901,NA,220.165403009757,NA,NA,72.3051758426558,105.402138952074,NA,0
"120","Jamaica",NA,0.0348954878456039,39.9143400694559,NA,NA,NA,31.7627279023468,2374.70412978319,0
"121","Japan",5647.15010954758,58903.5834833794,635.534145195965,797.542838492927,NA,331.587495650994,120.941204290229,1717.70265387651,0
"122","Jordan",696.386994727534,NA,16.1005311724822,NA,NA,223.380749008903,NA,NA,0
"123","Kazakhstan",306834.525329206,3056.8447352749,2229.61154159087,260.422151344629,NA,10750.3225240222,7296.04972723594,NA,0
"124","Kenya",3892.93781807419,806.295142160525,47132.9944990905,14.1043290157123,NA,1993.29635310318,419.645182631738,4323.62380909625,0
"125","Kuwait",2.79382598181923,NA,15.1519727468166,NA,NA,5.85910696709751,NA,NA,0
"126","Kyrgyzstan",10509.4420682767,220.365005744989,1801.21260208368,1.40874913766168,NA,634.075372268953,766.387219154958,NA,0
"127","Lao_People's_Democratic_Republic",NA,25924.0323979384,2841.0572951877,50.0639135774589,NA,NA,237.477735861995,480.481802259465,0
"128","Lebanon",1368.45735590961,NA,26.2101670249711,NA,NA,100.284401380415,32.2923219828658,NA,0
"129","Lesotho",586.263687277493,NA,4212.72270282785,NA,NA,218.697136856521,NA,NA,0
"130","Liberia",NA,4536.41341992851,149.772382999835,43.216607011932,172.902574008604,NA,109.793894741744,1978.92010815266,0
"131","Libya",3414.67620000128,NA,34.447648089962,NA,NA,1282.51382180521,135.627752328036,NA,0
"132","Madagascar",111.235664090951,43991.3457074391,6367.0736219613,0.454616255580064,18.3073313656169,10.689655971319,707.847697864419,6490.85795474072,0
"133","Malawi",42.8386650545616,1815.64712809462,44004.0996458409,404.10333829339,NA,686.531828375632,3257.88194634978,1781.02809733739,0
"134","Maldives",NA,NA,0.624051595832644,NA,NA,0.275506597198943,NA,NA,0
"135","Mali",92.2221261591256,14254.5974120021,10296.4519382173,7.01568295648246,NA,14772.7433326021,4322.92147613107,370.61215785483,0
"136","Martinique",NA,NA,NA,NA,NA,NA,NA,277.048815141372,0
"137","Mauritania",7.06217123182084,548.731546372122,867.306907888209,NA,NA,1238.52460178578,12.9169287931463,NA,0
"138","Mauritius",NA,NA,2.89559940466347,NA,NA,NA,2.29921332518005,5282.29186628973,0
"139","Micronesia_(Federated_States_of)",NA,3.07080293041315,1.14825493633207,NA,NA,0.0244894753065727,NA,NA,0
"140","Mongolia",3051.60816616024,NA,NA,NA,NA,13.9712456623997,129.169287931463,NA,0
"141","Montenegro",20.9019573454624,NA,69.4444615842567,NA,NA,6.33665173557568,NA,NA,0
"142","Montserrat",NA,NA,0.374430957499587,NA,NA,NA,NA,NA,0
"143","Mozambique",175.907561818248,12482.1160023725,41534.3780122375,NA,NA,2840.16689867977,4280.67020204869,2612.17454276151,0
"144","Myanmar",2376.40768512817,281756.463034321,8162.24540459732,883.543886446671,NA,2923.21683181318,18219.9609922438,11436.0209914056,0
"145","Namibia",56.083469709112,NA,721.50349303787,NA,NA,1645.12948266963,10.1397891026199,NA,0
"146","Nepal",17384.8408594611,54068.7089559075,21241.39333276,129.649821035796,NA,1762.62998519057,NA,4912.31296286951,0
"147","New_Caledonia",0.258687590909188,NA,24.9620638333058,NA,NA,NA,NA,NA,0
"148","New_Zealand",982.02983260946,NA,671.130048222259,NA,NA,288.228879620707,19.0137191835114,NA,0
"149","Nicaragua",NA,3064.24257869817,8565.98182503721,6.22431391899124,25.4268491189123,240.719297525956,336.201822628013,4007.55068942211,0
"150","Niger",134.517547272778,574.903162256325,424.330123102365,NA,NA,54564.4489173802,4006.01754512002,332.458578169647,0
"151","Nigeria",1629.73182272789,95090.2043792707,101520.713610055,3535.90421006716,31275.0244162621,75176.5668223515,28727.2496359574,3720.369803327,0
"152","Niue",NA,NA,NA,NA,NA,NA,NA,NA,0
"153","Norway",2218.19435452811,NA,2.52116844716388,NA,NA,970.30974585937,84.1408741585552,NA,0
"154","Occupied_Palestinian_Territory",545.960160613842,NA,30.8281488341326,NA,NA,67.6093189526205,0.155003145517756,NA,0
"155","Oman",7.13977750909359,NA,100.821775822722,NA,NA,19.4507657622454,NA,1.89976330382655,0
"156","Panama",NA,3821.05591909363,1262.83080932694,0.987808160272731,69.1610296034415,6.35501884205561,NA,2684.44470511124,0
"157","Papua_New_Guinea",NA,14.272254528852,589.104706466016,NA,935.708047575973,7.91622289284962,15.5907330533276,672.832836771904,0
"158","Paraguay",9442.09706818537,1465.61048951537,15376.681245444,12347.6020034091,133.541811572527,68.0807413522721,1813.14929469395,5936.76032445798,0
"159","Peru",3700.00861277412,11993.2651131435,12726.7085489003,13.3410227100471,110.922086596343,919.267556951645,50.3760222932707,5212.23809446112,0
"160","Puerto_Rico",NA,NA,23.0899090458078,NA,NA,NA,NA,NA,0
"161","Qatar",0.258687590909188,NA,3.49468893666281,NA,NA,9.97946118742837,NA,NA,0
"162","Republic_of_Korea",44.9599033000169,33333.1819592684,341.00675402679,506.521084365304,NA,371.480850925401,47.0047038782595,NA,0
"163","Republic_of_Moldova",7710.9079723029,NA,11377.7086952208,312.67495800451,NA,671.421822111477,3798.32624705502,NA,0
"164","Réunion",NA,1.7796698801258,47.427921283281,NA,NA,NA,17.3216015116092,2023.96032981421,0
"165","Rwanda",594.257133836587,489.723276425206,2828.50137707954,237.769914214738,NA,1073.23901057289,209.202578733798,284.964495573983,0
"166","Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,0.426258650173829,NA,0
"167","Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA,0
"168","Saint_Vincent_and_the_Grenadines",NA,NA,1.7473444683314,NA,NA,NA,3.8750786379439,63.3254434608851,0
"169","Samoa",NA,NA,1.12329287249876,NA,NA,NA,NA,0.0791568043261063,0
"170","Sao_Tome_and_Principe",NA,NA,27.4582702166364,NA,16.2731834361039,NA,NA,NA,0
"171","Saudi_Arabia",12113.5896882636,NA,539.904478650571,NA,NA,691.674618190012,12.9169287931463,NA,0
"172","Senegal",NA,2967.40759992662,3256.5758097569,NA,71.1951775329544,5555.27829170652,7676.06577233031,565.97115093166,0
"173","Serbia",13964.2924511462,NA,29222.4890401191,879.373764497338,NA,629.067274568759,2458.14321705092,NA,0
"174","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,0
"175","Sierra_Leone",NA,25892.4519814381,1497.72382999835,NA,244.097751541558,318.363178985445,1937.53931897195,79.1568043261063,0
"176","Solomon_Islands",NA,33.8486232102358,NA,NA,101.707396475649,NA,NA,NA,0
