"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots"
"1","Austria",31900.1115573641,NA,26977.3120358743,553.638226394808,NA,17066.9343727348,5212.68024668868,NA,2193.54087998512
"2","Belgium",22568.4066521332,NA,8390.22233123917,NA,NA,3567.0825395516,648.588868951874,NA,6731.42857545434
"3","Bulgaria",108777.635066691,474.619901477833,52034.6739032425,1.94779370418355,NA,14163.0670343447,51806.8292574383,NA,2448.82020411113
"4","Cyprus",604.088528527025,NA,NA,NA,NA,3516.96751405187,11.4782539789526,NA,429.301568208768
"5","Czechia",87605.7277443757,NA,13334.9590247896,213.371946685561,NA,39685.851419807,22910.4599037073,NA,3004.71069627889
"6","Denmark",76931.8903559282,NA,NA,NA,NA,50805.2754922731,8466.90028800385,NA,3862.71341092271
"7","Estonia",10183.0785133516,NA,NA,NA,NA,10737.6295453447,4219.40616266297,NA,1151.80910258343
"8","Finland",21556.1744360265,NA,NA,NA,NA,42090.8693365082,7285.31531958226,NA,2801.96827735326
"9","France",588029.010427299,1810.01773399015,227017.141356789,1001.85211855068,NA,126530.301340071,138443.339907751,NA,15842.6288510422
"10","Germany",349147.251772708,NA,59548.303625255,22.1340193657221,NA,184368.649047957,98645.4650779396,NA,27449.2820885
"11","Greece",87200.0501817965,2428.72801313629,35877.1846864198,0.132804116194333,NA,8469.58311153738,779.913598299302,NA,4547.79465473558
"12","Hungary",120474.129654202,252.210443349754,185148.743927823,794.854769442448,NA,24775.6606695832,45657.455966926,NA,2259.88748598103
"13","Ireland",9808.45170646032,NA,NA,NA,NA,12022.7168491565,344.347619368578,NA,1150.80839962723
"14","Italy",215858.912422823,23639.7099507389,164537.011899929,3937.84125133626,NA,26765.6657782722,9999.65230904033,NA,7250.19298794718
"15","Latvia",24111.9767092527,NA,NA,NA,NA,14164.5050551625,5617.5925355815,NA,4513.17033245114
"16","Lithuania",38538.8079620692,NA,296.999020574838,NA,NA,31241.0022663355,10181.8864707415,NA,5784.06308682209
"17","Luxembourg",1419.7033241408,NA,42.7678589627767,NA,NA,762.870043833878,322.876532513831,NA,59.5418258937567
"18","Malta",291.451136420535,NA,NA,NA,NA,35.9505204445748,NA,NA,82.0576424082026
"19","Netherlands",15816.8289803606,NA,2939.84480516003,NA,NA,3381.00264573048,222.813165473785,NA,15590.9520575585
"20","Poland",243891.355303296,NA,45198.7959461817,6.50740169352231,NA,182859.518100735,42433.2144242382,NA,59764.9826529887
"21","Portugal",11732.0292068359,2655.11093596059,15236.49525402,NA,NA,4863.09880157852,525.50147481287,7.77529431818182,3698.69819640192
"22","Romania",223336.539714056,583.785615763547,373170.953379708,3928.36789104773,NA,24881.4271007311,73216.9463278143,NA,28328.799916702
"23","Slovakia",39133.4803769581,NA,22709.2876107035,266.405057085832,NA,14415.5115889065,15619.0003422892,NA,1839.69231467365
"24","Slovenia",3596.39492683847,NA,5916.07199034048,5.0022883766532,NA,1292.63691310513,200.194253221144,NA,590.41474415658
"25","Spain",215251.573093159,11139.8174055829,51143.2313429871,13.9444322004049,NA,237936.722036396,42413.9714690382,37.8397656818182,8726.02970774738
