"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"1","Austria",31900.1115573641,0,26977.3120358743,553.638226394808,0,17066.9343727348,5212.68024668868,0,2193.54087998512,83904.2173190418,"Western_Europe",28785498.6882037,2415224737572.04
"2","Belgium",22568.4066521332,0,8390.22233123917,0,0,3567.0825395516,648.588868951874,0,6731.42857545434,41905.7289673302,"Western_Europe",28785498.6882037,1206277306217.3
"3","Bulgaria",108777.635066691,474.619901477833,52034.6739032425,1.94779370418355,0,14163.0670343447,51806.8292574383,0,2448.82020411113,229707.59316101,"Central_European_countries",35858506.9373052,8236971322915.74
"4","Cyprus",604.088528527025,0,0,0,0,3516.96751405187,11.4782539789526,0,429.301568208768,4561.83586476662,"Central_European_countries",35858506.9373052,163580623003.581
"5","Czechia",87605.7277443757,0,13334.9590247896,213.371946685561,0,39685.851419807,22910.4599037073,0,3004.71069627889,166755.080735644,"Western_Europe",28785498.6882037,4800128157767.18
"6","Denmark",76931.8903559282,0,0,0,0,50805.2754922731,8466.90028800385,0,3862.71341092271,140066.779547128,"Western_Europe",28785498.6882037,4031892098914.77
"7","Estonia",10183.0785133516,0,0,0,0,10737.6295453447,4219.40616266297,0,1151.80910258343,26291.9233239427,"Central_European_countries",35858506.9373052,942789114906.695
"8","Finland",21556.1744360265,0,0,0,0,42090.8693365082,7285.31531958226,0,2801.96827735326,73734.3273694702,"Western_Europe",28785498.6882037,2122479383769.47
"9","France",588029.010427299,1810.01773399015,227017.141356789,1001.85211855068,0,126530.301340071,138443.339907751,0,15842.6288510422,1098674.29173549,"Western_Europe",28785498.6882037,31625887383515.2
"10","Germany",349147.251772708,0,59548.303625255,22.1340193657221,0,184368.649047957,98645.4650779396,0,27449.2820885,719181.085631725,"Western_Europe",28785498.6882037,20701986197032.9
"11","Greece",87200.0501817965,2428.72801313629,35877.1846864198,0.132804116194333,0,8469.58311153738,779.913598299302,0,4547.79465473558,139303.387050041,"Western_Europe",28785498.6882037,4009917465191.29
"12","Hungary",120474.129654202,252.210443349754,185148.743927823,794.854769442448,0,24775.6606695832,45657.455966926,0,2259.88748598103,379362.942917307,"Western_Europe",28785498.6882037,10920151495699.2
"13","Ireland",9808.45170646032,0,0,0,0,12022.7168491565,344.347619368578,0,1150.80839962723,23326.3245746126,"Western_Europe",28785498.6882037,671459885443.126
"14","Italy",215858.912422823,23639.7099507389,164537.011899929,3937.84125133626,0,26765.6657782722,9999.65230904033,0,7250.19298794718,451988.986600087,"Western_Europe",28785498.6882037,13010728380859.3
"15","Latvia",24111.9767092527,0,0,0,0,14164.5050551625,5617.5925355815,0,4513.17033245114,48407.2446324478,"Central_European_countries",35858506.9373052,1735811517468.46
"16","Lithuania",38538.8079620692,0,296.999020574838,0,0,31241.0022663355,10181.8864707415,0,5784.06308682209,86042.7588065431,"Central_European_countries",35858506.9373052,3085364863569.3
"17","Luxembourg",1419.7033241408,0,42.7678589627767,0,0,762.870043833878,322.876532513831,0,59.5418258937567,2607.75958534504,"Western_Europe",28785498.6882037,75065660123.1004
"18","Malta",291.451136420535,0,0,0,0,35.9505204445748,0,0,82.0576424082026,409.459299273312,"Western_Europe",28785498.6882037,11786490122.1047
