"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane","sum_t","Region","kJ_t_N","N_total_kj"
"1","Austria",37381.8361734718,0,33764.4936986928,76.1449450089379,0,11681.3380816837,5423.50796012765,2367.9497171423,0,90695.2705761272,"Western_Europe",28785498.6882037,2610708592195.39
"2","Belgium",26001.4478660693,0,9816.70699430275,0,0,2786.5815338763,901.995707420761,8982.90539675927,0,48489.6374984284,"Western_Europe",28785498.6882037,1395798396602.48
"3","Bulgaria",155580.933315995,1159.16454591895,63580.9909885992,0.529845962486906,0,14015.978240738,76456.0395898844,1129.49341165598,0,311923.129938754,"Central_European_countries",35858506.9373052,11185097718814.8
"4","Croatia",19159.2263726295,0,43772.4008973695,81.8290630065023,0,2784.88382663927,4287.51090729814,1141.67422295815,0,71227.5252899011,"Central_European_countries",35858506.9373052,2554112709735
"5","Cyprus",752.802655301251,0,0,0,0,1108.71990903536,3.77063779331629,543.928591966094,0,2409.22179409602,"Central_European_countries",35858506.9373052,86391096417.099
"6","Czechia",102575.159653657,0,15362.7575115753,12.5808015092793,0,22045.489513951,30158.0786094644,2656.85641430018,0,172810.922504457,"Western_Europe",28785498.6882037,4974448583059.32
"7","Denmark",81243.7877872792,0,1571.29541430203,0,0,41617.2439586693,12280.4497543105,4451.53285770297,0,141164.309772264,"Western_Europe",28785498.6882037,4063485053770.69
"8","Estonia",18945.8402572964,0,0,0,0,8266.07799544818,5914.72595030007,708.701748490025,0,33835.3459515347,"Central_European_countries",35858506.9373052,1213284987529.23
"9","Finland",32811.6430362762,0,0,0,0,30476.7719860504,3179.16519828629,2436.16226043446,0,68903.7424810473,"Western_Europe",28785498.6882037,1983428588800.51
"10","France",650000.61184814,1760.42276551723,287143.035649851,131.660641478427,0,109202.383648365,159719.780880415,18660.8921802798,0,1226618.78761405,"Western_Europe",28785498.6882037,35308833501790.2
"11","Germany",395077.214225499,0,74877.6715746104,15.6347988930562,0,129002.333362391,104557.567986429,27107.8418797435,0,730638.263827566,"Western_Europe",28785498.6882037,21031786784959.8
"12","Greece",70158.7533496909,2844.11512919261,27623.3733834296,4.87979445451055,0,9614.11608327527,6044.92385528105,2890.17431806088,0,119180.335913385,"Western_Europe",28785498.6882037,3430665403094.42
"13","Hungary",136538.891382781,251.92383502721,190069.182823289,74.6648507137286,0,19364.9854115744,59698.0683571224,2323.21291926886,0,408320.929579777,"Western_Europe",28785498.6882037,11753721582784.8
"14","Ireland",8785.76530066334,0,0,0,0,12638.7278801083,694.980299160258,1051.97915791488,0,23171.4526378468,"Western_Europe",28785498.6882037,667001819510.513
"15","Italy",229973.419349608,23040.5340785303,135340.963543149,404.536523758814,0,16862.7991107143,9462.52644343881,5796.8480987038,0,420881.627147903,"Western_Europe",28785498.6882037,12115287526155
"16","Latvia",48051.7554712257,0,0,0,0,8792.95265521471,6979.37662135408,2967.68857180198,0,66791.7733195965,"Central_European_countries",35858506.9373052,2395053266935.67
"17","Lithuania",86876.0032523693,0,2955.90226452856,0,0,17849.3426403127,15903.2193988693,3023.05589590276,0,126607.523451983,"Central_European_countries",35858506.9373052,4539956758017.95
"18","Luxembourg",1554.07426721929,0,33.6039415335879,0,0,537.587777848446,306.530672374301,67.2159314583508,0,2499.01259043398,"Western_Europe",28785498.6882037,71935323643.7417
"19","Malta",390.696602197096,0,0,0,0,30.090397235555,0,77.5142537410965,0,498.301253173748,"Western_Europe",28785498.6882037,14343850069.5632
"20","Netherlands",17450.2968566751,0,1959.29647997225,0,0,1717.20159943684,228.160553532825,17219.45926464,0,38574.414754257,"Western_Europe",28785498.6882037,1110383765306.89
"21","Poland",286983.096947151,0,106097.288997347,0,0,101342.584557226,70419.9138894545,30665.4139225152,0,595508.298313694,"Central_European_countries",35858506.9373052,21354038446304.4
"22","Portugal",5868.54764342912,3018.25748015517,16746.2753451781,0,0,2163.46443625909,1149.97059288709,3013.53271615743,6.90980918309859,31966.9580232491,"Western_Europe",28785498.6882037,920184828244.1
"23","Romania",258641.764185574,1335.09135737962,390337.784197235,137.71652024967,0,31583.6185629622,103711.614307388,22441.1516005849,0,808188.740731373,"Central_European_countries",35858506.9373052,28980441566167.9
"24","Slovakia",46540.3829683169,0,33869.0392945751,57.7219403132866,0,9104.86245379649,14946.4385423339,1008.23897187526,0,105526.684171211,"Central_European_countries",35858506.9373052,3784029336424.18
"25","Slovenia",4064.52080753034,0,5963.29945798128,0.701828750310524,0,1191.38068898984,429.926642512436,398.644733525639,0,12048.4741592898,"Central_European_countries",35858506.9373052,432040294224.837
"26","Spain",266419.743307266,11590.490808279,65114.6375424793,1.39844590099003,0,173868.81334784,61180.5204824907,8410.96093879818,1.00303681690141,586587.567909871,"Western_Europe",28785498.6882037,16885215666586.2
"27","Sweden",55644.8163204582,0,0,0,0,20840.8198752093,6943.88826565228,2635.48462719728,0,86065.0090885171,"Western_Europe",28785498.6882037,2477424206217.75
"28","United_Kingdom",237526.968796231,0,0,0,0,63803.3504651492,49874.4478944178,15613.5853964209,0,366818.352552219,"Western_Europe",28785498.6882037,10559049206200.9
"29","Argentina",220000,3000,211000,67000,0,72418.3488755768,16277.7988025148,7805.39174389217,25000,622501.539421984,"Latin_America",29607941.5078667,18430989167763.1
