Area;Year;fertilizer;Barley;Cassava;Groundnut;Maize;Millet;Oil_palm;Potato;Rapeseed;Paddy_rice;Rye; Sorghum ;Soy;Sugarcane;Sunflower;Wheat;Oil_crops_Nuts;Rapeseed_Mustard;Roots_Tubers_other_than_potato_Yam);Roots_tubers;Cereals_incl_pulses;Cereals;Oilseeds;Rye_oat_rice;Triticale;Cereals_other;Rye_Oat;Buckwheat_millet;Cereals_mixture;Sunflower_soya_linseed
Algeria ;1998;N  ;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;
Argentina;1998;N  ;5.3;;7.7;63.7;;;2.8;;7.6;;3.9;34.8;13.5;41.6;191.5;;;;;;;;;;;;;;
Bolivia ;1999;N  ;0.3;;;0.6;;;3.9;;0.8;;0.1;0.8;1;;0.4;;;;;;;;;;;;;;
Brazil ;1999;N  ;1.5;39.4;1.3;596;;;9.2;;126.1;;6.2;109.8;255.4;;71;;;;;;;;;;;;;;
Bulgaria;1998;N  ;15;;;5;;;;;;;;;;6;69;6;;;;;;;;;;;;;
Cambodia;2001;N  ;;0.1;;0.5;;;;;9.6;;;;;;;;;;;;;;;;;;;;
Chile;1997;N  ;3.2;;;24;;;6.7;1.4;2.8;;3.2;;;0.3;;;;;;;;;;;;;;;
China;1997;N  ;112;19.8;283.2;2749.8;97.8;;401;722.9;4374.9;40;123.1;542.2;158.5;64.4;3477.7;;;;;;;;;;;;;;
China, Taiwan;1997;N  ;;;1;10.2;;;;;40;;1.6;;12;;;;;;;;;;;;;;;;
China (incl. Taiwan);1997;N  ;112;19.8;284.2;2760;97.8;0;401;722.9;4414.9;40;124.7;542.2;170.5;64.4;3477.7;;;;;;;;;;;;;;
Colombia;1997;N  ;0.5;;;28.7;;12;16.7;;42.6;;9.2;0.6;3.5;;;;;;;;;;;;;;;;
Costa Rica;1997;N  ;;;;0.5;;1.6;0.6;;11.8;;;;4.3;;;;;;;;;;;;;;;;
Dominican Republic;1998;N  ;;0.2;;1.1;;;0.3;;13.1;;0.3;;12.3;;;;;;;;;;;;;;;;
Ecuador;1995;N  ;0.2;;;23;;3.9;6.8;;21.4;;;0.4;2.2;;0.1;;;;;;;;;;;;;;
Egypt;1997;N  ;6.2;;3.1;189.9;;;24.5;;77.5;;;1.4;9.8;1.3;176.5;;;;;;;;;;;;;;
Estonia;1998;N  ;6;;;;;;0.1;0.9;;1.1;;;;;4.8;;;;;;;;;;;;;;
Guatemala;1997;N  ;;;;62;;0.8;1;;1.1;;4.7;0.2;9.3;;1.2;;;;;;;;;;;;;;
Guinea;1997;N  ;;;;2.7;;;;;7.7;;;;;;;;;;;;;;;;;;;;
Honduras;1997;N  ;;;;27.2;;2.9;0.3;;2.7;;2.9;0;6.3;;;;;;;;;;;;;;;;
India;1997-98;N  ;;;159.9;115;100;;;;2205.8;;136.9;;343.4;;2348.7;;322.5;;;;;;;;;;;;
Indonesia;2001;N  ;;35.4;5.2;258.6;;190;4.3;;1192.6;;;7.7;24.5;;;;;;;;;;;;;;;;
Jordan;1998;N  ;0.1;;;;;;;;;;;;;;0.7;;;;0.8;;;;;;;;;;
Kenya;1997;N  ;0.5;;0.3;18;;;5.7;;0.9;;3.4;;1.7;;3.8;;;;;;;;;;;;;;
Laos;2001;N  ;;;;0.2;;;;;11.4;;;;;;;;;;;;;;;;;;;;
Latvia;1998;N  ;;;;;;;1.8;;;;;;;;;;;;;0.3;;;;;;;;;
Lebanon;1995;N  ;0.4;;0.1;0.1;;;2;;;;;;;;1;;;;;;;;;;;;;;
Madagascar;1998;N  ;;;;;;;0.7;;1;;;;0.6;;;;;;;;;;;;;;;;
Malawi;1997;N  ;;0.5;1.6;22.2;;;6.1;;2.4;;1;;0.5;;;;;;;;;;;;;;;;
Malaysia;2001;N  ;;1.6;;1.8;;277.4;;;59.2;;;;2.6;;;;;;;;;;;;;;;;
Mauritania;1995;N  ;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;
