"","Area","Year","fertilizer","Barley","Cassava","Groundnut","Maize","Millet","Oil_palm","Potato","Rapeseed","Paddy_rice","Rye","Sorghum","Soy","Sugarcane","Sunflower","Wheat","Oil_crops_Nuts","Rapeseed_Mustard","Roots_Tubers_other_than_potato_Yam.","Roots_tubers","Cereals_incl_pulses","Cereals","Oilseeds","Rye_oat_rice","Triticale","Cereals_other","Rye_Oat","Buckwheat_millet","Cereals_mixture","Sunflower_soya_linseed"
"1","Algeria ","1998","N  ",0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Argentina","1998","N  ",5300,0,7700,63700,0,0,2800,0,7600,0,3900,34800,13500,41600,191500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Bolivia ","1999","N  ",300,0,0,600,0,0,3900,0,800,0,100,800,1000,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Brazil ","1999","N  ",1500,39400,1300,596000,0,0,9200,0,126100,0,6200,109800,255400,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Bulgaria","1998","N  ",15000,0,0,5000,0,0,0,0,0,0,0,0,0,6000,69000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Cambodia","2001","N  ",0,100,0,500,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Chile","1997","N  ",3200,0,0,24000,0,0,6700,1400,2800,0,3200,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","China","1997","N  ",112000,19800,283200,2749800,97800,0,401000,722900,4374900,40000,123100,542200,158500,64400,3477700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","China, Taiwan","1997","N  ",0,0,1000,10200,0,0,0,0,40000,0,1600,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","China (incl. Taiwan)","1997","N  ",112000,19800,284200,2760000,97800,0,401000,722900,4414900,40000,124700,542200,170500,64400,3477700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Colombia","1997","N  ",500,0,0,28700,0,12000,16700,0,42600,0,9200,600,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Costa Rica","1997","N  ",0,0,0,500,0,1600,600,0,11800,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Dominican Republic","1998","N  ",0,200,0,1100,0,0,300,0,13100,0,300,0,12300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Ecuador","1995","N  ",200,0,0,23000,0,3900,6800,0,21400,0,0,400,2200,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Egypt","1997","N  ",6200,0,3100,189900,0,0,24500,0,77500,0,0,1400,9800,1300,176500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Estonia","1998","N  ",6000,0,0,0,0,0,100,900,0,1100,0,0,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Guatemala","1997","N  ",0,0,0,62000,0,800,1000,0,1100,0,4700,200,9300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Guinea","1997","N  ",0,0,0,2700,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Honduras","1997","N  ",0,0,0,27200,0,2900,300,0,2700,0,2900,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","India","1997-98","N  ",0,0,159900,115000,1e+05,0,0,0,2205800,0,136900,0,343400,0,2348700,0,322500,0,0,0,0,0,0,0,0,0,0,0,0
"21","Indonesia","2001","N  ",0,35400,5200,258600,0,190000,4300,0,1192600,0,0,7700,24500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Jordan","1998","N  ",100,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,800,0,0,0,0,0,0,0,0,0,0
"23","Kenya","1997","N  ",500,0,300,18000,0,0,5700,0,900,0,3400,0,1700,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Laos","2001","N  ",0,0,0,200,0,0,0,0,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Latvia","1998","N  ",0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
"26","Lebanon","1995","N  ",400,0,100,100,0,0,2000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Madagascar","1998","N  ",0,0,0,0,0,0,700,0,1000,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Malawi","1997","N  ",0,500,1600,22200,0,0,6100,0,2400,0,1000,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
