Area;Fertilizer;Wheat;Rice;Maize;Other CG;Soybean;Oil Palm;Other OS;Cotton;Sugar Crops;Fruits & Veg.;Other Crops
Argentina;N;280.071;5.313;220.11;40.227;50.094;0;25.047;5.313;25.047;54.648;53.13
Australia;N;263.406;0;6.006;206.778;0;0;88.374;6.006;70.356;72.072;145.002
Bangladesh;N;14.316;1113.069;3.579;0;0;0;9.544;1.7895;8.351;17.895;24.4565
Brazil;N;68.91;163.087;675.318;94.177;87.286;4.594;2.297;169.978;535.201;156.196;339.956
Canada;N;590.688;0;156.462;258.426;8.79;0;358.632;0;8.79;10.548;365.664
Chile;N;45.72;2.032;30.48;15.24;0;0;2.032;0;4.064;50.8;103.632
China;N;4258.2;5496.4;4862.2;302;453;6.04;1449.6;1238.2;453;9060;2621.36
Egypt;N;302.4;113.4;340.2;56.7;1.26;0;12.6;44.1;50.4;239.4;99.54
India;N;2892.33;4131.9;344.325;619.785;137.73;0;619.785;895.245;688.65;964.11;2479.14
Indonesia;N;0;1057.5;352.5;0;9.4;305.5;23.5;1.175;47;211.5;341.925
Iran;N;414;86.25;63.25;92;2.3;0;51.75;23;40.25;172.5;204.7
Malaysia;N;0;81;2.7;0;0;351;0.81;0;1.62;16.2;86.67
Mexico;N;59.36;5.6;686.56;20.16;0;13.44;2.24;5.6;68.32;166.88;91.84
Morocco;N;63.28;0.904;6.78;42.94;0;0;4.972;0;12.43;45.2;49.494
Pakistan;N;1003.971;249.006;127.152;15.894;0;0;29.139;498.012;174.834;100.662;450.33
Philippines;N;0;208;104;0;0;2.6;10.4;0;10.4;104;80.6
Russia;N;401.52;11.472;69.788;210.32;3.824;0;21.988;0;91.776;9.56;135.752
South Africa;N;30.888;0;205.92;6.006;0.429;0;18.447;1.287;49.335;49.335;67.353
Thailand;N;0;310.2;72.38;5.17;1.034;31.02;10.34;10.34;51.7;289.52;252.296
Turkey;N;583.905;12.663;95.676;170.247;1.407;0;64.722;75.978;28.14;239.19;135.072
USA;N;1603.98;227.43;5793.48;406.98;95.76;0;179.55;287.28;119.7;502.74;2753.1
Vietnam;N;0;763.64;134.76;0;7.861;0;16.845;2.246;44.92;33.69;119.038
EU-27;N;2793.96;42.984;1289.52;1719.36;10.746;0;988.632;53.73;225.666;805.95;2815.452
ROW;N;943.41;1015.98;943.41;435.42;36.285;50.799;362.85;362.85;362.85;1306.26;1436.886
World;N;16614.315;15097.83;16586.556;4717.83;907.206;764.993;4354.096;3682.1295;3172.8;14678.856;15252.3885
