Area;Fertilizer;Wheat;Rice;Maize;Oth Cereals;Soybean;Oil Palm;Oth Oilseeds;Fibre Crops;Sugar Crops;Roots/Tubers;Fruits;Vegetables;Oth Crops
Argentina;N;221.023;8.591;231.176;60.137;115.588;0;28.897;7.81;17.963;7.81;29.678;8.591;43.736
Australia;N;367.268;5.892;1.964;154.174;0;0;86.416;97.218;60.884;7.856;22.586;16.694;161.048
Bangladesh;N;13.31;1004.3;12.1;0;0;2.42;9.68;18.15;12.1;24.2;36.3;36.3;41.14
Belarus;N;80.4;0;23.584;150.08;0;0;42.88;5.36;14.472;8.04;3.216;1.608;206.36
Brazil;N;114.2;142.75;713.75;28.55;114.2;8.565;17.13;105.635;628.1;114.2;157.025;114.2;596.695
Canada;N;587.05;0;199;328.35;9.95;0;696.5;0.796;1.99;23.88;13.93;11.94;116.614
Chile;N;50.92;2.144;34.84;17.688;0;0;2.144;0.536;3.484;8.04;45.56;9.112;93.532
China;N;4498.662;5020.246;5020.246;293.391;293.391;6.5198;1727.747;912.772;488.985;1727.747;3227.301;6552.399;2829.5932
Egypt;N;246.867;157.624;275.842;17.385;0.5795;0;25.498;34.77;79.971;34.77;92.72;150.67;42.3035
India;N;3973.92;4967.4;844.458;1043.154;231.812;0;1092.828;1490.22;910.69;132.464;413.95;496.74;960.364
Indonesia;N;0;1370.25;487.2;0;15.225;548.1;27.405;3.045;45.675;70.035;66.99;167.475;243.6
Iran;N;348.6;65.1;49.35;70.35;1.05;0;27.3;12.6;32.55;42;168;115.5;117.6
Japan;N;22.275;145.8;0;13.365;4.455;0;0.405;0;17.82;23.49;47.79;79.785;49.815
Malaysia;N;0;82.384;0.813;0;0;373.98;0;0;1.084;0.542;9.756;5.962;67.479
Mexico;N;61.798;5.83;711.26;34.98;0;3.498;5.83;6.996;71.126;4.664;110.77;64.13;85.118
Morocco;N;69.7;0.82;6.15;41;0;0;3.485;0;10.25;5.125;22.55;16.4;29.52
Pakistan;N;1351.49;345.73;141.435;25.144;0;0;31.43;628.6;251.44;18.858;110.005;62.86;176.008
Philippines;N;0;207.84;95.26;0;0;1.732;9.093;0;41.135;2.598;36.372;18.186;20.784
Russia;N;708.874;20.762;100.844;212.069;10.381;0;60.803;1.483;123.089;37.075;7.415;16.313;183.892
South Africa;N;20.145;0;229.1;3.95;1.58;0;7.9;0.5925;33.18;9.085;30.02;20.145;39.3025
Thailand;N;0;589.95;91.77;5.244;1.311;40.641;11.799;7.866;120.612;65.55;117.99;131.1;127.167
Turkey;N;559.104;10.752;116.928;163.968;1.344;0;72.576;44.352;30.912;24.192;134.4;94.08;91.392
Ukraine;N;234.65;2.6;116.35;92.3;22.1;0;102.05;0;50.05;1.95;1.95;3.25;22.75
USA;N;1548.785;244.545;5706.05;302.77;93.16;0;93.16;558.96;104.805;81.515;93.16;139.74;2678.35
Uzbekistan;N;146.44;6.276;4.184;7.845;0;0;5.753;219.66;0;6.276;31.903;31.903;62.76
Vietnam;N;0;750;150;0;8.75;0;18.75;2.5;50;25;47.5;112.5;85
EU-27;N;3022.32;43.176;1360.044;1629.894;1.0794;0;1090.194;32.382;183.498;194.292;485.73;269.85;2481.5406
ROW;N;652.3;830.2;830.2;326.15;35.58;118.6;266.85;278.71;296.5;177.9;533.7;770.9;812.41
World;N;18900.101;16030.962;17553.898;5021.938;961.5359;1104.0558;5564.503;4471.0135;3682.365;2879.154;6098.267;9518.333;12465.8738
