"","Area","Fertilizer","Wheat","Rice","Maize","Soybean","Oil.Palm","CG","OS","RT","SC"
"1","Argentina","N",221023,8591,231176,115588,0,50003.1985442332,27592.8004869046,6199.50003744337,17963
"2","Australia","N",367268,5892,1964,0,0,124872.099847797,84360.8493891017,7514.15638639112,60884
"3","Bangladesh","N",13310,1004300,12100,0,2420,0,7299.72335053845,22586.6874360344,12100
"4","Belarus","N",80400,0,23584,0,0,91946.5728229474,37273.3246280446,8040,NA
"5","Brazil","N",114200,142750,713750,114200,8565,20961.2453415692,5556.58510641481,110322.146599142,628100
"6","Canada","N",587050,0,199000,9950,0,233506.038764558,646409.855333324,23880,NA
"7","Chile","N",50920,2144,34840,0,0,2812.66635402011,994.027350201493,7838.52139181197,NA
"8","China,_mainland","N",4498662,5020246,5020246,293391,6519.8,193571.446547999,1601132.91482508,1038856.5844746,432838.303954814
"9","Egypt","N",246867,157624,275842,579.5,0,17385,12156.3458577861,30991.8793282768,39985.5
"10","Eu-27-2010","N",3022320,43176,1360044,1079.4,0,1086043.7852366,731120.808091375,193177.608514505,8.12750803901246
"11","India","N",3973920,4967400,844458,231812,0,1043154,769314.253584993,125259.402955034,910690
"12","Indonesia","N",0,1370250,487200,15225,548100,NA,4718.31749882018,58637.9018339631,45675
"13","Iran_(Islamic_Republic_of)","N",348600,65100,49350,1050,0,70350,14790.2558671052,42000,12965.2604110036
"14","Japan","N",22275,145800,0,4455,0,7380.33562919361,403.962694877506,13125.1269895022,4818.46153846154
"15","Malaysia","N",0,82384,813,0,373980,NA,0,284.188221927665,1084
"16","Mexico","N",61798,5830,711260,0,3498,33807.6494219003,1129.21313600988,3999.15304350452,71123.1710084648
"17","Morocco","N",69700,820,6150,0,0,40208.1756460153,326.175401207026,5065.48502575744,1973.36448598131
"18","Pakistan","N",1351490,345730,141435,0,0,25144,26968.1908469445,15435.8178787986,251046.175971297
"19","Philippines","N",0,207840,95260,0,1732,0,68.4473924129044,1610.28023491103,41135
"20","ROW-2010","N",652300,830200,830200,35580,118600,297656.213291592,162422.589563343,109042.208642555,270099.000421232
"21","Russian_Federation","N",708874,20762,100844,10381,0,145076.977542471,57959.1354697021,37075,NA
"22","South_Africa","N",20145,0,229100,1580,0,3047.86130565076,7774.78653680445,6733.64796569193,33180
"23","Thailand","N",0,589950,91770,1311,40641,1625.33432918216,1857.50042009609,64275.3724162392,120612
"24","Turkey","N",559104,10752,116928,1344,0,158171.106537359,33514.8935002428,24182.0305095102,NA
"25","Ukraine","N",234650,2600,116350,22100,0,83226.3807791711,99039.3222345174,1950,NA
"26","United_States_of_America","N",1548785,244545,5706050,93160,0,255612.297303361,83922.5956055764,73020.2251056417,45223.3042679459
"27","Uzbekistan","N",146440,6276,4184,0,0,7140.78096947935,4469.83425353761,6276,NA
"28","Viet_Nam","N",0,750000,150000,8750,0,0,10168.1509257089,19439.724847498,50000
