Area;Fertilizer;Wheat;Rice;Maize;Oth Ce;Soy;Palm;Oth OS;Fibre;Sugar;R&T;Fruits;Veg;Grass;Residual
Argentina;N;220;3;211;83;67;0;17;3;25;10;35;10;50;95
Australia;N;553;8;15;200;0;0;124;80;60;20;32;24;100;190
Bangladesh;N;20;1025;32;0;10;0;10;27;12;50;40;45;0;50
Belarus;N;81;0;115;147;0;0;56;1;17;4;0;1;43;50
Brazil;N;179;182;1059;50;266;12;8;164;802;38;119;60;79;854
Canada;N;773;0;201;330;15;0;980;0;1;25;20;12;61;156
China;N;3396;3899;4654;201;201;5;755;729;478;956;3396;4654;503;1328
Chile;N;37;2;25;13;0;0;2;0;3;6;33;7;39;29
Egypt;N;238;153;266;17;1;0;25;34;79;34;90;146;0;41
India;N;3949;4932;831;915;271;0;1271;1644;847;136;254;424;0;1475
Indonesia;N;0;1192;447;0;15;745;15;3;60;89;104;149;0;161
Iran;N;309;58;44;62;1;0;24;11;29;37;149;102;52;52
Japan;N;37;115;0;2;5;0;0;0;15;21;45;76;19;61
Malaysia;N;0;83;1;0;0;470;0;0;1;1;19;15;0;39
Mexico;N;82;7;890;50;0;7;9;12;98;9;149;85;0;107
Morocco;N;88;0;10;35;0;0;7;0;9;6;35;24;0;12
New-Zealand;N;9;0;4;9;0;0;0;1;0;2;11;9;384;0
Pakistan;N;1359;497;149;17;0;0;33;597;199;33;133;66;0;232
Philippines;N;0;337;133;0;0;3;13;0;44;4;57;6;0;37
Russia;N;609;15;163;215;30;0;104;0;82;15;1;6;97;148
South Africa;N;21;0;268;8;5;0;12;1;32;13;27;19;24;9
Thailand;N;0;986;85;4;0;35;4;3;85;28;38;70;0;70
Turkey;N;627;15;119;164;2;0;82;49;31;22;149;119;0;112
Ukraine;N;319;1;331;142;35;0;213;0;35;35;6;14;24;26
USA;N;1561;201;5577;445;178;0;139;240;96;113;97;132;1337;1708
Uzbekistan;N;188;7;6;10;0;0;6;239;0;7;34;34;11;26
Vietnam;N;0;812;162;0;5;0;20;2;54;27;57;97;0;117
EU-28;N;3281;45;1506;1284;1;0;1205;34;169;191;472;258;1944;848
ROW;N;763;985;978;378;39;143;320;326;352;209;619;906;0;502
World;N;18699;15561;18283;4783;1147;1422;5453;4200;3714;2140;6221;7572;4766;8536
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
