"","Area","Fertilizer","Wheat","Rice","Maize","Soy","Palm","CG","OS","RT","SC"
"1","Argentina","N",220000,3000,211000,67000,0,72418.3488755768,16277.7988025148,7805.39174389217,25000
"2","Australia","N",553000,8000,15000,0,0,169588.906877323,122426.098716706,18788.2068262863,60000
"3","Bangladesh","N",20000,1025000,32000,10000,0,0,7889.67912508171,47345.1599671862,12000
"4","Belarus","N",81000,0,115000,0,0,81459.981540545,53071.18853062,4000,NA
"5","Brazil","N",179000,182000,1059000,266000,12000,37509.0291038785,3807.56368349687,36592.4180332511,802000
"6","Canada","N",773000,0,201000,15000,0,228097.235932873,892953.825728309,25000,NA
"7","Chile","N",37000,2000,25000,0,0,1239.7379862171,1253.54846536455,5842.96255046638,NA
"8","China,_mainland","N",3396000,3899000,4654000,201000,5000,131397.68115942,709559.341703556,601124.599376126,443071.718538566
"9","Egypt","N",238000,153000,266000,1000,0,17000,10291.8783349755,31336.8127186896,31363.4432908099
"10","Eu-28-2014","N",3281000,45000,1506000,1000,0,864294.515417191,810857.081374438,189792.062526414,7.91284592734743
"11","India","N",3949000,4932000,831000,271000,0,915000,878139.97247484,129894.230646905,847000
"12","Indonesia","N",0,1192000,447000,15000,745000,NA,2123.31376727905,73378.1475582324,60000
"13","Iran_(Islamic_Republic_of)","N",309000,58000,44000,1000,0,62000,13394.0709055997,37000,13875.3961177772
"14","Japan","N",37000,115000,0,5000,0,1003.08621490675,0,11714.0414618508,4277.70859277709
"15","Malaysia","N",0,83000,1000,0,470000,NA,0,475.299984416394,1000
"16","Mexico","N",82000,7000,890000,0,7000,48694.1513761948,1911.73155220566,7778.63425511707,97993.5685747437
"17","Morocco","N",88000,0,10000,0,0,34025.0585954983,269.764186114929,5919.29295910284,1169.78559106219
"18","New_Zealand","N",9000,0,4000,0,0,7952.83693224125,0,1750.50148056166,NA
"19","Pakistan","N",1359000,497000,149000,0,0,17000,27829.8392148674,27345.7608137744,198530.000209939
"20","Philippines","N",0,337000,133000,0,3000,0,92.3196610507789,2662.92474469384,44000
"21","ROW-2014","N",763000,985000,978000,39000,143000,346315.670200889,181535.468245425,124506.539392782,336758.643925804
"22","Russian_Federation","N",609000,15000,163000,30000,0,158250.724979983,96305.3053433419,15000,NA
"23","South_Africa","N",21000,0,268000,5000,0,6229.47028934798,11833.8666761836,9722.31634067457,32000
"24","Thailand","N",0,986000,85000,0,35000,1088.91399064063,551.612958784726,27472.0530666294,85000
"25","Turkey","N",627000,15000,119000,2000,0,156859.549784636,37513.075113083,21990.7509770643,NA
"26","Ukraine","N",319000,1000,331000,35000,0,127472.072024079,208376.359166969,35000,NA
"27","United_States_of_America","N",1561000,201000,5577000,178000,0,394477.230297449,128192.778474605,100091.227120338,41381.3606092939
"28","Uzbekistan","N",188000,7000,6000,0,0,9772.96181630547,4579.21635434412,7000,NA
"29","Viet_Nam","N",0,812000,162000,5000,0,0,10462.0181619031,22008.6401744746,54000
