"","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"837",11556,11556,"Albania","Apples",2000,2300,12000
"838",11562,11562,"Albania","Apples",2006,5500,27566
"839",11566,11566,"Albania","Apples",2010,3863,54604
"840",11570,11570,"Albania","Apples",2014,3863,82060
"841",11612,11612,"Albania","Apricots",2000,327,670
"842",11618,11618,"Albania","Apricots",2006,380,1900
"843",11622,11622,"Albania","Apricots",2010,274,3471
"844",11626,11626,"Albania","Apricots",2014,320,4140
"845",11668,11668,"Albania","Barley",2000,1200,1800
"846",11674,11674,"Albania","Barley",2006,2175,6000
"847",11678,11678,"Albania","Barley",2010,2500,7300
"848",11682,11682,"Albania","Barley",2014,2703,7300
"849",11724,11724,"Albania","Beans, dry",2000,22500,25200
"850",11730,11730,"Albania","Beans, dry",2006,15076,24300
"851",11734,11734,"Albania","Beans, dry",2010,13700,24000
"852",11738,11738,"Albania","Beans, dry",2014,14600,30000
"853",11780,11780,"Albania","Beans, green",2000,500,3800
"854",11786,11786,"Albania","Beans, green",2006,600,16000
"855",11790,11790,"Albania","Beans, green",2010,797,9307
"856",11794,11794,"Albania","Beans, green",2014,885,11130
"857",11836,11836,"Albania","Broad beans, horse beans, dry",2000,141,209
"858",11842,11842,"Albania","Broad beans, horse beans, dry",2006,144,203
"859",11846,11846,"Albania","Broad beans, horse beans, dry",2010,150,200
"860",11850,11850,"Albania","Broad beans, horse beans, dry",2014,163,207
"861",11892,11892,"Albania","Cabbages and other brassicas",2000,1300,32200
"862",11898,11898,"Albania","Cabbages and other brassicas",2006,1574,35129
"863",11902,11902,"Albania","Cabbages and other brassicas",2010,1653,35832
"864",11906,11906,"Albania","Cabbages and other brassicas",2014,1457,34570
"865",11948,11948,"Albania","Carrots and turnips",2000,370,6200
"866",11954,11954,"Albania","Carrots and turnips",2006,57,1268
"867",11958,11958,"Albania","Carrots and turnips",2010,392,6303
"868",11962,11962,"Albania","Carrots and turnips",2014,287,5690
"869",12004,12004,"Albania","Cauliflowers and broccoli",2000,100,1800
"870",12010,12010,"Albania","Cauliflowers and broccoli",2006,144,3210
"871",12014,12014,"Albania","Cauliflowers and broccoli",2010,360,4601
"872",12018,12018,"Albania","Cauliflowers and broccoli",2014,160,3460
"873",12060,12060,"Albania","Cereals (Rice Milled Eqv)",2000,178200,NA
"874",12066,12066,"Albania","Cereals (Rice Milled Eqv)",2006,140870,NA
"875",12070,12070,"Albania","Cereals (Rice Milled Eqv)",2010,145700,NA
"876",12074,12074,"Albania","Cereals (Rice Milled Eqv)",2014,143149,NA
"877",12116,12116,"Albania","Cereals,Total",2000,178200,565800
"878",12122,12122,"Albania","Cereals,Total",2006,140870,507500
"879",12126,12126,"Albania","Cereals,Total",2010,145700,693800
"880",12130,12130,"Albania","Cereals,Total",2014,143149,700370
"881",12172,12172,"Albania","Cherries",2000,1095,5000
"882",12178,12178,"Albania","Cherries",2006,1200,7680
"883",12182,12182,"Albania","Cherries",2010,1411,12528
"884",12186,12186,"Albania","Cherries",2014,1877,17730
"885",12228,12228,"Albania","Cherries, sour",2000,1695,8300
"886",12234,12234,"Albania","Cherries, sour",2006,2700,13600
"887",12238,12238,"Albania","Cherries, sour",2010,2600,15000
"888",12242,12242,"Albania","Cherries, sour",2014,3000,17000
"889",12284,12284,"Albania","Chestnut",2000,2000,5000
"890",12290,12290,"Albania","Chestnut",2006,2000,5000
"891",12294,12294,"Albania","Chestnut",2010,2307,5453
"892",12298,12298,"Albania","Chestnut",2014,3014,6590
"893",12340,12340,"Albania","Chillies and peppers, green",2000,2100,33000
"894",12346,12346,"Albania","Chillies and peppers, green",2006,2199,49078
"895",12350,12350,"Albania","Chillies and peppers, green",2010,3067,65475
"896",12354,12354,"Albania","Chillies and peppers, green",2014,2987,68970
"897",12396,12396,"Albania","Citrus Fruit,Total",2000,489,2600
"898",12402,12402,"Albania","Citrus Fruit,Total",2006,724,5600
"899",12406,12406,"Albania","Citrus Fruit,Total",2010,855,13505
"900",12410,12410,"Albania","Citrus Fruit,Total",2014,1075,21357
"901",12452,12452,"Albania","Coarse Grain, Total",2000,66200,224700
"902",12458,12458,"Albania","Coarse Grain, Total",2006,65870,276600
"903",12462,12462,"Albania","Coarse Grain, Total",2010,71800,398900
"904",12466,12466,"Albania","Coarse Grain, Total",2014,73151,420370
"905",12508,12508,"Albania","Cotton lint",2000,NA,292
"906",12514,12514,"Albania","Cotton lint",2006,NA,310
"907",12518,12518,"Albania","Cotton lint",2010,NA,230
"908",12522,12522,"Albania","Cotton lint",2014,NA,230
"909",12562,12562,"Albania","Cottonseed",2000,NA,610
"910",12568,12568,"Albania","Cottonseed",2006,NA,616
"911",12572,12572,"Albania","Cottonseed",2010,NA,570
"912",12576,12576,"Albania","Cottonseed",2014,NA,540
"913",12616,12616,"Albania","Cucumbers and gherkins",2000,1100,30000
"914",12622,12622,"Albania","Cucumbers and gherkins",2006,2370,52912
"915",12626,12626,"Albania","Cucumbers and gherkins",2010,2159,68959
"916",12630,12630,"Albania","Cucumbers and gherkins",2014,2279,79930
"917",12672,12672,"Albania","Dates",2000,NA,NA
"918",12678,12678,"Albania","Dates",2006,3000,7900
"919",12682,12682,"Albania","Dates",2010,1198,10921
"920",12686,12686,"Albania","Dates",2014,465,12180
"921",12728,12728,"Albania","Eggplants (aubergines)",2000,1000,18500
"922",12734,12734,"Albania","Eggplants (aubergines)",2006,766,17094
"923",12738,12738,"Albania","Eggplants (aubergines)",2010,1038,23641
"924",12742,12742,"Albania","Eggplants (aubergines)",2014,1117,28200
"925",12784,12784,"Albania","Fibre Crops Primary",2000,NA,292
"926",12790,12790,"Albania","Fibre Crops Primary",2006,NA,310
"927",12794,12794,"Albania","Fibre Crops Primary",2010,NA,230
"928",12798,12798,"Albania","Fibre Crops Primary",2014,NA,230
"929",12838,12838,"Albania","Figs",2000,1000,13100
"930",12844,12844,"Albania","Figs",2006,1300,16650
"931",12848,12848,"Albania","Figs",2010,1441,18387
"932",12852,12852,"Albania","Figs",2014,1543,19350
"933",12894,12894,"Albania","Fruit, citrus nes",2000,NA,NA
"934",12900,12900,"Albania","Fruit, citrus nes",2006,NA,NA
"935",12904,12904,"Albania","Fruit, citrus nes",2010,20,200
"936",12908,12908,"Albania","Fruit, citrus nes",2014,12,400
