"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"1",837,11556,11556,"Albania","Apples",2000,2300,12000
"2",838,11562,11562,"Albania","Apples",2006,5500,27566
"3",839,11566,11566,"Albania","Apples",2010,3863,54604
"4",840,11570,11570,"Albania","Apples",2014,3863,82060
"5",841,11612,11612,"Albania","Apricots",2000,327,670
"6",842,11618,11618,"Albania","Apricots",2006,380,1900
"7",843,11622,11622,"Albania","Apricots",2010,274,3471
"8",844,11626,11626,"Albania","Apricots",2014,320,4140
"9",845,11668,11668,"Albania","Barley",2000,1200,1800
"10",846,11674,11674,"Albania","Barley",2006,2175,6000
"11",847,11678,11678,"Albania","Barley",2010,2500,7300
"12",848,11682,11682,"Albania","Barley",2014,2703,7300
"17",853,11780,11780,"Albania","Beans, green",2000,500,3800
"18",854,11786,11786,"Albania","Beans, green",2006,600,16000
"19",855,11790,11790,"Albania","Beans, green",2010,797,9307
"20",856,11794,11794,"Albania","Beans, green",2014,885,11130
"33",869,12004,12004,"Albania","Cauliflowers and broccoli",2000,100,1800
"34",870,12010,12010,"Albania","Cauliflowers and broccoli",2006,144,3210
"35",871,12014,12014,"Albania","Cauliflowers and broccoli",2010,360,4601
"36",872,12018,12018,"Albania","Cauliflowers and broccoli",2014,160,3460
"45",881,12172,12172,"Albania","Cherries",2000,1095,5000
"46",882,12178,12178,"Albania","Cherries",2006,1200,7680
"47",883,12182,12182,"Albania","Cherries",2010,1411,12528
"48",884,12186,12186,"Albania","Cherries",2014,1877,17730
"49",885,12228,12228,"Albania","Cherries, sour",2000,1695,8300
"50",886,12234,12234,"Albania","Cherries, sour",2006,2700,13600
"51",887,12238,12238,"Albania","Cherries, sour",2010,2600,15000
"52",888,12242,12242,"Albania","Cherries, sour",2014,3000,17000
"57",893,12340,12340,"Albania","Chillies and peppers, green",2000,2100,33000
"58",894,12346,12346,"Albania","Chillies and peppers, green",2006,2199,49078
"59",895,12350,12350,"Albania","Chillies and peppers, green",2010,3067,65475
"60",896,12354,12354,"Albania","Chillies and peppers, green",2014,2987,68970
"77",913,12616,12616,"Albania","Cucumbers and gherkins",2000,1100,30000
"78",914,12622,12622,"Albania","Cucumbers and gherkins",2006,2370,52912
"79",915,12626,12626,"Albania","Cucumbers and gherkins",2010,2159,68959
"80",916,12630,12630,"Albania","Cucumbers and gherkins",2014,2279,79930
"81",917,12672,12672,"Albania","Dates",2000,NA,NA
"82",918,12678,12678,"Albania","Dates",2006,3000,7900
"83",919,12682,12682,"Albania","Dates",2010,1198,10921
"84",920,12686,12686,"Albania","Dates",2014,465,12180
"85",921,12728,12728,"Albania","Eggplants (aubergines)",2000,1000,18500
"86",922,12734,12734,"Albania","Eggplants (aubergines)",2006,766,17094
"87",923,12738,12738,"Albania","Eggplants (aubergines)",2010,1038,23641
"88",924,12742,12742,"Albania","Eggplants (aubergines)",2014,1117,28200
"93",929,12838,12838,"Albania","Figs",2000,1000,13100
"94",930,12844,12844,"Albania","Figs",2006,1300,16650
"95",931,12848,12848,"Albania","Figs",2010,1441,18387
"96",932,12852,12852,"Albania","Figs",2014,1543,19350
"97",933,12894,12894,"Albania","Fruit, citrus nes",2000,NA,NA
"98",934,12900,12900,"Albania","Fruit, citrus nes",2006,NA,NA
"99",935,12904,12904,"Albania","Fruit, citrus nes",2010,20,200
"100",936,12908,12908,"Albania","Fruit, citrus nes",2014,12,400
"106",942,13008,13008,"Albania","Garlic",2000,1000,6200
"107",943,13014,13014,"Albania","Garlic",2006,265,5917
"108",944,13018,13018,"Albania","Garlic",2010,902,8132
"109",945,13022,13022,"Albania","Garlic",2014,615,8240
"110",946,13064,13064,"Albania","Grapes",2000,4613,79300
"111",947,13070,13070,"Albania","Grapes",2006,6915,127800
"112",948,13074,13074,"Albania","Grapes",2010,8630,184900
"113",949,13078,13078,"Albania","Grapes",2014,9625,203700
"118",954,13176,13176,"Albania","Leeks, other alliaceous vegetables",2000,900,15000
"119",955,13182,13182,"Albania","Leeks, other alliaceous vegetables",2006,1008,22495
"120",956,13186,13186,"Albania","Leeks, other alliaceous vegetables",2010,1436,20682
"121",957,13190,13190,"Albania","Leeks, other alliaceous vegetables",2014,1471,29900
"122",958,13232,13232,"Albania","Lemons and limes",2000,NA,NA
"123",959,13238,13238,"Albania","Lemons and limes",2006,100,860
"124",960,13242,13242,"Albania","Lemons and limes",2010,194,1637
"125",961,13246,13246,"Albania","Lemons and limes",2014,350,2933
"126",962,13288,13288,"Albania","Lettuce and chicory",2000,NA,NA
"127",963,13294,13294,"Albania","Lettuce and chicory",2006,307,6843
"128",964,13298,13298,"Albania","Lettuce and chicory",2010,858,8995
"129",965,13302,13302,"Albania","Lettuce and chicory",2014,1017,11810
"130",966,13344,13344,"Albania","Maize",2000,53000,205700
"131",967,13350,13350,"Albania","Maize",2006,48971,245400
"132",968,13354,13354,"Albania","Maize",2010,54200,362000
"133",969,13358,13358,"Albania","Maize",2014,55000,380000
"134",970,13400,13400,"Albania","Melons, other (inc.cantaloupes)",2000,NA,NA
"135",971,13406,13406,"Albania","Melons, other (inc.cantaloupes)",2006,1828,40805
"136",972,13410,13410,"Albania","Melons, other (inc.cantaloupes)",2010,2368,64622
"137",973,13414,13414,"Albania","Melons, other (inc.cantaloupes)",2014,1569,42460
"146",982,13568,13568,"Albania","Oats",2000,10700,15700
"147",983,13574,13574,"Albania","Oats",2006,13375,22600
