"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg","N_div_AreaH_kj_ha","production_div_AreaH_kj_ha","manure_area","netcap_area","netcap14_area","TFP","Nt_area"
"1","Albania",2000,181200,215151041623.831,6000,8378368765200,"Albania 2000",43.39644344,3704.790476,1367.49,1900.8111,40791557.82,1187367.77938097,46238238.218543,225.118972516556,0.00754685430463576,0.0104901274834437,38.9417996862348,0.033112582781457
"2","Albania",2006,138518,116929075691.452,3260.8461890477,7494799053600,"Albania 2006",43.39644344,3704.790476,2460.23,2903.0714,38390400.6,844143.545903435,54107040.6272109,277.150988319208,0.0177610852019232,0.0209580805382694,64.0969665524167,0.0235409563309296
"3","Albania",2010,142300,101619999153.874,2833.91607273403,10275671613600,"Albania 2010",43.39644344,3704.790476,2850.22,3078.2376,34663560.53,714125.081896514,72211325.4645116,243.594943991567,0.0200296556570625,0.0216320281096275,101.118595740593,0.0199150813263108
"4","Albania",2014,139569,111361412533.075,3105.57862121194,10425809424240,"Albania 2014",43.39644344,3704.790476,3693.01,3693.01,35800592.95,797895.037816958,74700036.7147432,256.508199886794,0.0264601021716857,0.0264601021716857,93.6213827311455,0.0222512063653959
"5","Algeria",2000,1136373,236863532062.933,8000,16998622280424,"Algeria 2000",41.87419646,2764.443498,1098.37,1526.7343,18478652.26,208438.19068469,14958664.3473789,16.2610799975008,0.000966557635565083,0.00134351511343547,71.7654682102249,0.007039941990878
"6","Algeria",2006,2713904,1539057807474.44,51981.2499313916,61613654610744,"Algeria 2006",41.87419646,2764.443498,2183.66,2576.7188,20249737.1,567101.04980664,22702960.2413144,7.46147877743649,0.000804619470696089,0.000949450975421386,40.0333595733163,0.0191536804291499
"7","Algeria",2010,2912741,1316968351798.68,44480.2402574581,67193760104784,"Algeria 2010",41.87419646,2764.443498,3697.93,3993.7644,21597724.56,452140.561690408,23068910.0420477,7.41491418564163,0.00126957048360977,0.00137113612229855,51.0215450606786,0.015270921876493
"8","Algeria",2014,2615168,1430701149454.78,48321.5339058494,60841008931644,"Algeria 2014",41.87419646,2764.443498,4504.74,4504.74,24475881.82,547078.103377978,23264665.5708712,9.35920056378787,0.00172254325534727,0.00172254325534727,42.5253093246131,0.0184774109754514
"9","Argentina",2000,23303926,11025997417529.5,372400,935852337327816,"Argentina 2000",55.98132736,1798.839226,18722.26,26023.9414,159309678.9,473139.05036986,40158569.7331778,6.8361733941311,0.000803395101752383,0.00111671919143581,84.8768870415267,0.0159801399987281
"10","Argentina",2006,26371232,19090437370820.8,644774.219300204,1121441263015464,"Argentina 2006",55.98132736,1798.839226,17156.59,20244.7762,163600801,723911.471819777,42525175.2749156,6.20376025663117,0.000650579768135216,0.000767684126399555,58.7436129006429,0.0244499088741931
"11","Argentina",2010,28186718,20078225798772,678136.499068581,1381272000433524,"Argentina 2010",55.98132736,1798.839226,26247.11,28346.8788,167155513.6,712329.324711447,49004357.315865,5.93029360850029,0.000931187164110415,0.00100568213723925,68.7945246894277,0.0240587250728723
"12","Argentina",2014,33267729,18430989167763.1,622501.539421984,1635633600267708,"Argentina 2014",55.98132736,1798.839226,38692.96,38692.96,187236520.4,554020.058530689,49165772.6401375,5.62817258731427,0.00116307788848466,0.00116307788848466,88.7436689034861,0.0187118735824133
"13","Australia",2000,18666586,24006243788768.7,810804.215564611,545692276151064,"Australia 2000",34.39855154,5323.713368,43398.56,60323.9984,151134179.7,1286054.33199026,29233641.124899,8.09650890098489,0.00232493290417434,0.00323165673680233,22.7312644557232,0.0434361278256565
"14","Australia",2006,19376273,17709370665524.4,598129.074958458,610941287040732,"Australia 2006",34.39855154,5323.713368,81587.48,96273.2264,157449809.2,913971.983442037,31530381.8768827,8.12590786680184,0.00421069005375802,0.00496861426343446,34.4981929950836,0.0308691498596483
"15","Australia",2010,21161956,19326734986255.7,652755.10562329,528655879556208,"Australia 2010",34.39855154,5323.713368,113066.94,122112.2952,143318240.5,913277.344790609,24981427.9717909,6.77244771230032,0.00534293427318344,0.00577036901503812,27.3536052484894,0.0308456886321515
"16","Australia",2014,20375094,28032894132801,946803.212420315,639061284641004,"Australia 2014",34.39855154,5323.713368,121830.24,121830.24,157259345.4,1375841.21736081,31364826.3237953,7.7182144730228,0.00597937069640022,0.00597937069640022,22.7968358034515,0.0464686549382454
"17","Austria",2000,873387,2936120866196.78,102000,66065189952204,"Austria 2000",0,0,26027.47,36178.1833,109590070.7,3361763.87580394,75642515.8059417,125.477103162745,0.0298006153057007,0.0414228552749239,22.5008414036373,0.116786716541464
"18","Austria",2006,827746,2415224737572.04,83904.2173190418,66314339135172,"Austria 2006",0,0,42497.45,50146.991,101811253.7,2917833.17294441,80114357.7077654,122.998182655066,0.0513411722919833,0.0605825833045403,27.456798575952,0.101364690761468
"19","Austria",2010,858896,2680950919139.13,93135.4689449163,71176665749940,"Austria 2010",0,0,52727.92,56946.1536,102087194,3121391.78566337,82869946.7105913,118.858620834187,0.0613903429518824,0.066301570388033,26.5490372247453,0.108436258807721
"20","Austria",2014,859788,2610708592195.39,90695.2705761272,83923000700580,"Austria 2014",0,0,55896.75,55896.75,98765594.52,3036456.18710123,97608946.2758029,114.872031849712,0.065012247205125,0.065012247205125,32.1456791276761,0.105485620380986
"21","Azerbaijan",2000,697039,111572592915.478,3400,22306153361760,"Azerbaijan 2000",25.67930172,3135.51489,2944.02,4092.1878,11178611.71,160066.499744603,32001298.8681552,16.0372830071201,0.00422360872203707,0.00587081612363153,199.925024406828,0.00487777584898406
"22","Azerbaijan",2006,851140,557553202599.931,16990.5604889531,31221167477832,"Azerbaijan 2006",25.67930172,3135.51489,3880.82,4579.3676,12886478.66,655066.384613496,36681588.7842564,15.1402573724652,0.00455955541978993,0.00538027539535212,55.996750323098,0.0199621219646041
"23","Azerbaijan",2010,1027599,553191339588.694,16857.6395461779,29877876240552,"Azerbaijan 2010",25.67930172,3135.51489,6353.7,6861.996,13648272.81,538333.863295599,29075423.6239545,13.2817108716532,0.00618305389553707,0.00667769820718004,54.0100216730917,0.016404881229135
"24","Azerbaijan",2014,1052506,619862666874.987,18889.3438101912,34780926770352,"Azerbaijan 2014",25.67930172,3135.51489,7785.32,7785.32,14479974.37,588939.794048668,33045822.7984943,13.7576169352004,0.00739693645451902,0.00739693645451902,56.1106977868157,0.0179470176988931
"25","Bangladesh",2000,12443599,24721644227685.1,812400,489961023624000,"Bangladesh 2000",65.05402331,453.6634146,7564.06,10514.0434,174123631.9,1986695.6680045,39374542.9777993,13.9930282147472,0.000607867547001474,0.00084493589033205,19.8191115085827,0.0652865782640537
"26","Bangladesh",2006,11990438,35472722578918.8,1165700.7744995,523547013014100,"Bangladesh 2006",65.05402331,453.6634146,9484.98,11192.2764,204057769.5,2958417.58065208,43663710.4511195,17.0183749334261,0.000791045331288148,0.000933433490920015,14.7591437857448,0.0972191987064609
"27","Bangladesh",2010,12962824,32685775192742.1,1074116.41078657,647261479610460,"Bangladesh 2010",65.05402331,453.6634146,13094.9,14142.492,223211636,2521501.11678922,49932135.1281526,17.2193679401957,0.00101018882922425,0.00109100393556219,19.8025433324948,0.0828612971052118
"28","Bangladesh",2014,13028164,35123809757802,1154234.83909227,702830676810024,"Bangladesh 2014",65.05402331,453.6634146,18589.79,18589.79,243514579.1,2695990.75954233,53947024.0634079,18.6913965083645,0.00142689253834999,0.00142689253834999,20.0100923463721,0.0885953568816197
"29","Belarus",2000,2717479,782353808752.238,23841.0068301694,77704963166880,"Belarus 2000",45.19041603,4593.538774,16379.36,22767.3104,193982319.3,287896.910611724,28594503.6435903,71.383189824098,0.00602740996342566,0.00837809984916167,99.3220232298865,0.00877320738455362
"30","Belarus",2006,2152413,954850265645.306,29097.5661527687,83307176220960,"Belarus 2006",45.19041603,4593.538774,20439.1,24118.138,180549551.4,443618.518214351,38704085.2387344,83.8823921803111,0.00949590064732001,0.0112051627638376,87.2463246000769,0.0135185794514197
"31","Belarus",2010,2425501,7916531518718.45,241243.897450992,99645739809876,"Belarus 2010",45.19041603,4593.538774,26802.53,28946.7324,189376012.3,3263874.77008604,41082539.1578383,78.0770703866954,0.0110503067201374,0.0119343312577484,12.5870451692469,0.0994614710325792
"32","Belarus",2014,2440003,10977797075261.3,334531.170071165,121968681946560,"Belarus 2014",45.19041603,4593.538774,26658.14,26658.14,196606060.9,4499091.6303223,49987103.2726435,80.5761553981696,0.0109254537801798,0.0109254537801798,11.1104879339972,0.137102769984777
"33","Belgium",2000,369100,1943470934870.75,67515.625,42712406384400,"Belgium 2000",0,0,5692.37,7912.3943,172850124,5265431.95575928,115720418.272555,468.301609319967,0.0154222974803576,0.0214369934976971,21.977383668586,0.182919601733947
"34","Belgium",2006,384314,1206277306217.3,41905.7289673302,44943285614580,"Belgium 2006",0,0,7910.02,9333.8236,149941439.6,3138780.54459973,116944180.057401,390.153467216911,0.0205821801964019,0.0242869726317542,37.2578389587012,0.109040339324954
"35","Belgium",2010,406410,1351316177007.92,46944.337898919,52837092485964,"Belgium 2010",0,0,9898.22,10690.0776,148418134.3,3325007.20210605,130009331.674821,365.193116065057,0.0243552570064713,0.026303677566989,39.1004661862006,0.115509800199107
"36","Belgium",2014,415921,1395798396602.48,48489.6374984284,56851680023532,"Belgium 2014",0,0,11882.36,11882.36,145059999.2,3355921.90969554,136688650.064632,348.768153567625,0.0285687907078508,0.0285687907078508,40.7305812658296,0.116583768307992
"37","Bolivia_(Plurinational_State_of)",2000,1733699,233902737912.147,7900,43600667907816,"Bolivia_(Plurinational_State_of) 2000",37.65271672,389.7105322,1043,1449.77,50311040.99,134915.425291326,25148926.0291527,29.0194785773078,0.000601603853956194,0.00083622935699911,186.405119910107,0.00455673101270751
"38","Bolivia_(Plurinational_State_of)",2006,2193897,1072617154764.88,36227.3464529743,61454306468124,"Bolivia_(Plurinational_State_of) 2006",37.65271672,389.7105322,1260.2,1487.036,70439186.31,488909.531652981,28011482.065076,32.1068793612462,0.00057441165195996,0.000677805749312753,57.2937941511805,0.0165127836233763
"39","Bolivia_(Plurinational_State_of)",2010,2502694,1113718223931.23,37615.5236471039,68564646917676,"Bolivia_(Plurinational_State_of) 2010",37.65271672,389.7105322,1848.17,1996.0236,90519387.23,445007.74922193,27396336.4748851,36.1687794153021,0.000738472222333214,0.000797550000119871,61.5637289974971,0.015030013116707
"40","Bolivia_(Plurinational_State_of)",2014,2981079,1323923605192.49,44715.1520088193,89062082164116,"Bolivia_(Plurinational_State_of) 2014",37.65271672,389.7105322,2927.45,2927.45,93535550.7,444108.862996415,29875787.3119485,31.3764079046547,0.00098201020502979,0.00098201020502979,67.2713152139673,0.0149996534841308
"41","Brazil",2000,37965347,36000296079415.1,1215900,1646741121717564,"Brazil 2000",37.46278576,874.8070531,42475.84,59041.4176,1340595338,948240.9334864,43374847.113015,35.3110255518012,0.00111880552547037,0.00155513968040382,45.7424327312454,0.0320265741282438
"42","Brazil",2006,48697792,50664111473306.9,1711166.29164664,2314611349602552,"Brazil 2006",37.46278576,874.8070531,65977.32,77853.2376,1556941338,1040378.00057356,47530108.7491308,31.9714975578359,0.00135483185767437,0.00159870159205575,45.6854227241711,0.0351384779754828
"43","Brazil",2010,52984598,55023545858339.6,1858404.97704713,3078698246789760,"Brazil 2010",37.46278576,874.8070531,110355.87,119184.3396,1740219631,1038481.89729286,58105531.8526671,32.8438772150352,0.00208279149348269,0.00224941481296131,55.9523781821694,0.0350744376138728
"44","Brazil",2014,64364238,76326579204979.5,2577909.01082063,3738993155125416,"Brazil 2014",37.46278576,874.8070531,105074.49,105074.49,1753472066,1185853.84643223,58091158.5580399,27.2429554126004,0.00163249800300596,0.00163249800300596,48.9867775298056,0.0400518842594024
"45","Bulgaria",2000,2322218,3611463912971.45,100714.285714286,68120917000200,"Bulgaria 2000",0,0,1234.41,1715.8299,58859851.67,1555178.67528865,29334419.5076431,25.3463936934431,0.000531565081314502,0.000738875463027158,18.8624111002542,0.0433698669609339
"46","Bulgaria",2006,2314164,8236971322915.74,229707.59316101,95049731314440,"Bulgaria 2006",0,0,1684.92,1988.2056,48259429.18,3559372.33615065,41073031.6928446,20.8539365317238,0.000728090144000166,0.000859146369920196,11.5394029659914,0.0992615878395006
"47","Bulgaria",2010,2691788,9779928230629.67,272736.626980282,132292806433596,"Bulgaria 2010",0,0,2103.66,2271.9528,40579592.98,3633246.09167946,49146814.8433666,15.0753302191703,0.000781510282384794,0.000844031104975578,13.5269710895494,0.101321733725049
