"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop"
"1",845,11668,11668,"Albania","BARLEY",2000,1200,1800,13900176
"2",846,11674,11674,"Albania","BARLEY",2006,2175,6000,13900176
"3",847,11678,11678,"Albania","BARLEY",2010,2500,7300,13900176
"4",848,11682,11682,"Albania","BARLEY",2014,2703,7300,13900176
"5",966,13344,13344,"Albania","MAIZE",2000,53000,205700,14905008
"6",967,13350,13350,"Albania","MAIZE",2006,48971,245400,14905008
"7",968,13354,13354,"Albania","MAIZE",2010,54200,362000,14905008
"8",969,13358,13358,"Albania","MAIZE",2014,55000,380000,14905008
"9",1033,14260,14260,"Albania","POTATOES",2000,11400,161000,2805156
"10",1034,14266,14266,"Albania","POTATOES",2006,9523,162600,2805156
"11",1035,14270,14270,"Albania","POTATOES",2010,9000,208000,2805156
"12",1036,14274,14274,"Albania","POTATOES",2014,9600,240000,2805156
"13",1053,14540,14540,"Albania","RICE, PADDY",2000,NA,NA,11723040
"14",1054,14546,14546,"Albania","RICE, PADDY",2006,NA,NA,11723040
"15",1055,14550,14550,"Albania","RICE, PADDY",2010,NA,NA,11723040
"16",1056,14554,14554,"Albania","RICE, PADDY",2014,0,0,11723040
"17",1061,14652,14652,"Albania","RYE",2000,1300,1500,13355892
"18",1062,14658,14658,"Albania","RYE",2006,1349,2600,13355892
"19",1063,14662,14662,"Albania","RYE",2010,1100,2300,13355892
"20",1064,14666,14666,"Albania","RYE",2014,1375,3070,13355892
"21",1069,14764,14764,"Albania","SORGHUM",2000,NA,NA,14360724
"22",1070,14770,14770,"Albania","SORGHUM",2006,NA,NA,14360724
"23",1071,14774,14774,"Albania","SORGHUM",2010,NA,NA,14360724
"24",1072,14778,14778,"Albania","SORGHUM",2014,0,0,14360724
"25",1073,14801,14801,"Albania","SOYBEANS",2000,400,600,14025780
"26",1074,14807,14807,"Albania","SOYBEANS",2006,200,400,14025780
"27",1075,14811,14811,"Albania","SOYBEANS",2010,300,500,14025780
"28",1076,14815,14815,"Albania","SOYBEANS",2014,207,350,14025780
"29",1089,15025,15025,"Albania","SUNFLOWER SEED",2000,1900,2900,12895344
"30",1090,15031,15031,"Albania","SUNFLOWER SEED",2006,1300,2200,12895344
"31",1091,15035,15035,"Albania","SUNFLOWER SEED",2010,1300,2600,12895344
"32",1092,15039,15039,"Albania","SUNFLOWER SEED",2014,686,2000,12895344
"33",1129,15585,15585,"Albania","WHEAT",2000,112000,341100,13983912
"34",1130,15591,15591,"Albania","WHEAT",2006,75000,230900,13983912
"35",1131,15595,15595,"Albania","WHEAT",2010,73900,294900,13983912
"36",1132,15599,15599,"Albania","WHEAT",2014,69998,280000,13983912
"37",1153,15921,15921,"Algeria","BARLEY",2000,215630,163287,13900176
"38",1154,15927,15927,"Algeria","BARLEY",2006,812280,1235880,13900176
"39",1155,15931,15931,"Algeria","BARLEY",2010,1018792,1503900,13900176
