"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year"
"1","Albania","2000",181200,8378368765200,"Albania 2000"
"2","Albania","2006",138518,7494799053600,"Albania 2006"
"3","Albania","2010",142300,10275671613600,"Albania 2010"
"4","Albania","2014",139569,10425809424240,"Albania 2014"
"5","Algeria","2000",1136373,16998622280424,"Algeria 2000"
"6","Algeria","2006",2713904,61613654610744,"Algeria 2006"
"7","Algeria","2010",2912741,67193760104784,"Algeria 2010"
"8","Algeria","2014",2615168,60841008931644,"Algeria 2014"
"9","Argentina","2000",23303926,935852337327816,"Argentina 2000"
"10","Argentina","2006",26371232,1121441263015464,"Argentina 2006"
"11","Argentina","2010",28186718,1381272000433524,"Argentina 2010"
"12","Argentina","2014",33267729,1635633600267708,"Argentina 2014"
"13","Australia","2000",18666586,545692276151064,"Australia 2000"
"14","Australia","2006",19376273,610941287040732,"Australia 2006"
"15","Australia","2010",21161956,528655879556208,"Australia 2010"
"16","Australia","2014",20375094,639061284641004,"Australia 2014"
"17","Austria","2000",873387,66065189952204,"Austria 2000"
"18","Austria","2006",827746,66314339135172,"Austria 2006"
"19","Austria","2010",858896,71176665749940,"Austria 2010"
"20","Austria","2014",859788,83923000700580,"Austria 2014"
"21","Azerbaijan","2000",697039,22306153361760,"Azerbaijan 2000"
"22","Azerbaijan","2006",851140,31221167477832,"Azerbaijan 2006"
"23","Azerbaijan","2010",1027599,29877876240552,"Azerbaijan 2010"
"24","Azerbaijan","2014",1052506,34780926770352,"Azerbaijan 2014"
"25","Bangladesh","2000",12443599,489961023624000,"Bangladesh 2000"
"26","Bangladesh","2006",11990438,523547013014100,"Bangladesh 2006"
"27","Bangladesh","2010",12962824,647261479610460,"Bangladesh 2010"
"28","Bangladesh","2014",13028164,702830676810024,"Bangladesh 2014"
"29","Belarus","2000",2717479,77704963166880,"Belarus 2000"
"30","Belarus","2006",2152413,83307176220960,"Belarus 2006"
"31","Belarus","2010",2425501,99645739809876,"Belarus 2010"
"32","Belarus","2014",2440003,121968681946560,"Belarus 2014"
"33","Belgium","2000",369100,42712406384400,"Belgium 2000"
"34","Belgium","2006",384314,44943285614580,"Belgium 2006"
"35","Belgium","2010",406410,52837092485964,"Belgium 2010"
"36","Belgium","2014",415921,56851680023532,"Belgium 2014"
"37","Bolivia_(Plurinational_State_of)","2000",1733699,43600667907816,"Bolivia_(Plurinational_State_of) 2000"
"38","Bolivia_(Plurinational_State_of)","2006",2193897,61454306468124,"Bolivia_(Plurinational_State_of) 2006"
"39","Bolivia_(Plurinational_State_of)","2010",2502694,68564646917676,"Bolivia_(Plurinational_State_of) 2010"
"40","Bolivia_(Plurinational_State_of)","2014",2981079,89062082164116,"Bolivia_(Plurinational_State_of) 2014"
"41","Brazil","2000",37965347,1646741121717564,"Brazil 2000"
"42","Brazil","2006",48697792,2314611349602552,"Brazil 2006"
"43","Brazil","2010",52984598,3078698246789760,"Brazil 2010"
"44","Brazil","2014",64364238,3738993155125416,"Brazil 2014"
"45","Bulgaria","2000",2322218,68120917000200,"Bulgaria 2000"
"46","Bulgaria","2006",2314164,95049731314440,"Bulgaria 2006"
"47","Bulgaria","2010",2691788,132292806433596,"Bulgaria 2010"
"48","Bulgaria","2014",2971679,171979716252204,"Bulgaria 2014"
"49","Cambodia","2000",2040270,52000779646512,"Cambodia 2000"
"50","Cambodia","2006",2817953,92038539285792,"Cambodia 2006"
"51","Cambodia","2010",3347121,131663815137864,"Cambodia 2010"
"52","Cambodia","2014",3468110,161333429186340,"Cambodia 2014"
"53","Canada","2000",22956938,863993563397244,"Canada 2000"
"54","Canada","2006",21059147,877150502136288,"Canada 2006"
"55","Canada","2010",20770970,950226785365140,"Canada 2010"
"56","Canada","2014",23894573,1122770999069064,"Canada 2014"
"57","Chile","2000",606105,37462773806640,"Chile 2000"
"58","Chile","2006",588367,49448182643136,"Chile 2006"
"59","Chile","2010",505729,48534760168308,"Chile 2010"
"60","Chile","2014",511192,45663140309292,"Chile 2014"
"61","China,_mainland","2000",112593430,6314546934889128,"China,_mainland 2000"
"62","China,_mainland","2006",109650890,6998938579577664,"China,_mainland 2006"
"63","China,_mainland","2010",117366980,7820094465315504,"China,_mainland 2010"
"64","China,_mainland","2014",121155332,8753731096627548,"China,_mainland 2014"
"65","Colombia","2000",1969051,120785280540084,"Colombia 2000"
"66","Colombia","2006",2005055,134940775349664,"Colombia 2006"
"67","Colombia","2010",1925663,132885993304296,"Colombia 2010"
"68","Colombia","2014",2001976,158260306053960,"Colombia 2014"
"69","Costa_Rica","2000",174902,13255635682692,"Costa_Rica 2000"
"70","Costa_Rica","2006",176188,15523978859820,"Costa_Rica 2006"
"71","Costa_Rica","2010",214815,16233569530596,"Costa_Rica 2010"
"72","Costa_Rica","2014",208401,16281268905636,"Costa_Rica 2014"
"73","Croatia","2000",703487,37068175317276,"Croatia 2000"
"74","Croatia","2006",677706,49522638349728,"Croatia 2006"
"75","Croatia","2010",659676,49175101376424,"Croatia 2010"
"76","Croatia","2014",600476,49495732256340,"Croatia 2014"
"77","Cyprus","2000",57930,1009755676800,"Cyprus 2000"
"78","Cyprus","2006",58763,1291849532928,"Cyprus 2006"
"79","Cyprus","2010",36318,1138646817216,"Cyprus 2010"
"80","Cyprus","2014",30037,426902163444,"Cyprus 2014"
"81","Czechia","2000",1983809,108811149896088,"Czechia 2000"
"82","Czechia","2006",1802253,107172455551632,"Czechia 2006"
"83","Czechia","2010",1789621,116532841355064,"Czechia 2010"
"84","Czechia","2014",1750408,152122648381380,"Czechia 2014"
"85","Denmark","2000",1557082,135151558958304,"Denmark 2000"
"86","Denmark","2006",1556900,127148351421600,"Denmark 2006"
"87","Denmark","2010",1605400,132081419214000,"Denmark 2010"
"88","Denmark","2014",1589400,151039245427200,"Denmark 2014"
"89","Dominican_Republic","2000",296002,14428031331744,"Dominican_Republic 2000"
"90","Dominican_Republic","2006",284509,16177250874132,"Dominican_Republic 2006"
"91","Dominican_Republic","2010",312167,17957404295244,"Dominican_Republic 2010"
"92","Dominican_Republic","2014",328365,17002474638840,"Dominican_Republic 2014"
"93","Ecuador","2000",1138322,42996423949524,"Ecuador 2000"
"94","Ecuador","2006",1145336,52795509648912,"Ecuador 2006"
"95","Ecuador","2010",1297837,69088922577288,"Ecuador 2010"
"96","Ecuador","2014",1335436,79708729682268,"Ecuador 2014"
"97","Egypt","2000",3046645,302545879918128,"Egypt 2000"
"98","Egypt","2006",3310729,337177755352440,"Egypt 2006"
"99","Egypt","2010",3365276,303665529549024,"Egypt 2010"
"100","Egypt","2014",3679729,365290599051288,"Egypt 2014"
"101","El_Salvador","2000",433154,17992884075804,"El_Salvador 2000"
"102","El_Salvador","2006",401449,20108993404608,"El_Salvador 2006"
"103","El_Salvador","2010",425211,20916164483208,"El_Salvador 2010"
"104","El_Salvador","2014",491035,23582013966036,"El_Salvador 2014"
"105","Estonia","2000",322699,9816443962848,"Estonia 2000"
"106","Estonia","2006",314183,9694539084384,"Estonia 2006"
"107","Estonia","2010",344336,11625285044484,"Estonia 2010"
"108","Estonia","2014",382000,19409846957640,"Estonia 2014"
"109","Ethiopia","2000",5089730,94602934189152,"Ethiopia 2000"
"110","Ethiopia","2006",6002602,155019654692856,"Ethiopia 2006"
"111","Ethiopia","2010",7050353,211719975406848,"Ethiopia 2010"
"112","Ethiopia","2014",7335582,279519328163808,"Ethiopia 2014"
"113","Finland","2000",837800,40230735112800,"Finland 2000"
"114","Finland","2006",913600,42338864275200,"Finland 2006"
"115","Finland","2010",836700,35214597021600,"Finland 2010"
"116","Finland","2014",853000,44968032324000,"Finland 2014"
"117","France","2000",10837919,1022226695318880,"France 2000"
"118","France","2006",10805578,964029777614748,"France 2006"
"119","France","2010",11092608,1033094432787480,"France 2010"
"120","France","2014",11429672,1151536899329496,"France 2014"
"121","Germany","2000",7648740,687660313864032,"Germany 2000"
"122","Germany","2006",7816200,702598559864400,"Germany 2006"
"123","Germany","2010",7774261,724567470003072,"Germany 2010"
"124","Germany","2014",7572600,840005358404400,"Germany 2014"
"125","Greece","2000",1310723,73248291040500,"Greece 2000"
"126","Greece","2006",1217524,69577958820528,"Greece 2006"
"127","Greece","2010",1234767,71804962664892,"Greece 2010"
"128","Greece","2014",1051312,64103085781200,"Greece 2014"
"129","Guatemala","2000",886297,41515844567616,"Guatemala 2000"
"130","Guatemala","2006",888662,53214432273972,"Guatemala 2006"
"131","Guatemala","2010",1193001,62858904724728,"Guatemala 2010"
"132","Guatemala","2014",1331128,84225767635332,"Guatemala 2014"
"133","Guinea","2000",1752110,35396321977368,"Guinea 2000"
"134","Guinea","2006",2198795,46151840059416,"Guinea 2006"
"135","Guinea","2010",2902860,50004761641884,"Guinea 2010"
"136","Guinea","2014",3092487,55547813411640,"Guinea 2014"
"137","Honduras","2000",529876,18777053503224,"Honduras 2000"
"138","Honduras","2006",554272,26871260635512,"Honduras 2006"
"139","Honduras","2010",568014,31140744408936,"Honduras 2010"
"140","Honduras","2014",606183,32294944183320,"Honduras 2014"
"141","Hungary","2000",3105930,153442314887904,"Hungary 2000"
"142","Hungary","2006",3403233,227550937937040,"Hungary 2006"
"143","Hungary","2010",3264596,197648004410244,"Hungary 2010"
"144","Hungary","2014",3539060,271273311012960,"Hungary 2014"
"145","India","2000",128262300,3801332220733152,"India 2000"
"146","India","2006",128637300,3963186644635152,"India 2006"
"147","India","2010",128241790,4419197425217520,"India 2010"
"148","India","2014",130199260,4862949395825160,"India 2014"
"149","Indonesia","2000",20625584,1172436372925164,"Indonesia 2000"
"150","Indonesia","2006",22297170,1592506420544520,"Indonesia 2006"
"151","Indonesia","2010",26235990,2007687436589592,"Indonesia 2010"
"152","Indonesia","2014",28547810,2380489951714524,"Indonesia 2014"
"153","Iran_(Islamic_Republic_of)","2000",7370042,192687516762228,"Iran_(Islamic_Republic_of) 2000"
"154","Iran_(Islamic_Republic_of)","2006",9920284,338360501022300,"Iran_(Islamic_Republic_of) 2006"
"155","Iran_(Islamic_Republic_of)","2010",9425133,295062426045828,"Iran_(Islamic_Republic_of) 2010"
"156","Iran_(Islamic_Republic_of)","2014",8979523,269007311941416,"Iran_(Islamic_Republic_of) 2014"
"157","Ireland","2000",276719,29980099139688,"Ireland 2000"
"158","Ireland","2006",271312,28455965691552,"Ireland 2006"
"159","Ireland","2010",273002,28125328862052,"Ireland 2010"
"160","Ireland","2014",306393,35880189364800,"Ireland 2014"
"161","Israel","2000",106136,4568036819580,"Israel 2000"
"162","Israel","2006",131700,5861968490016,"Israel 2006"
"163","Israel","2010",103300,5670739916928,"Israel 2010"
"164","Israel","2014",107662,7812058177872,"Israel 2014"
"165","Italy","2000",4578414,315936897160464,"Italy 2000"
"166","Italy","2006",4030443,299165839601760,"Italy 2006"
"167","Italy","2010",3666464,273956605844688,"Italy 2010"
