"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year","N_total_kj","N_total_t"
"1","Albania",2000,181200,8378368765200,"Albania 2000",215151041623.831,6000
"2","Albania",2006,138518,7494799053600,"Albania 2006",116929075691.452,3260.8461890477
"3","Albania",2010,142300,10275671613600,"Albania 2010",101619999153.874,2833.91607273403
"4","Albania",2014,139569,10425809424240,"Albania 2014",111361412533.075,3105.57862121194
"5","Algeria",2000,1136373,16998622280424,"Algeria 2000",236863532062.933,8000
"6","Algeria",2006,2713904,61613654610744,"Algeria 2006",1539057807474.44,51981.2499313916
"7","Algeria",2010,2912741,67193760104784,"Algeria 2010",1316968351798.68,44480.2402574581
"8","Algeria",2014,2615168,60841008931644,"Algeria 2014",1430701149454.78,48321.5339058494
"9","Argentina",2000,23303926,935852337327816,"Argentina 2000",11025997417529.5,372400
"10","Argentina",2006,26371232,1121441263015464,"Argentina 2006",19090437370820.8,644774.219300204
"11","Argentina",2010,28186718,1381272000433524,"Argentina 2010",20078225798772,678136.499068581
"12","Argentina",2014,33267729,1635633600267708,"Argentina 2014",18430989167763.1,622501.539421984
"13","Australia",2000,18666586,545692276151064,"Australia 2000",24006243788768.7,810804.215564611
"14","Australia",2006,19376273,610941287040732,"Australia 2006",17709370665524.4,598129.074958458
"15","Australia",2010,21161956,528655879556208,"Australia 2010",19326734986255.7,652755.10562329
"16","Australia",2014,20375094,639061284641004,"Australia 2014",28032894132801,946803.212420315
"17","Austria",2000,873387,66065189952204,"Austria 2000",2936120866196.78,102000
"18","Austria",2006,827746,66314339135172,"Austria 2006",2415224737572.04,83904.2173190418
"19","Austria",2010,858896,71176665749940,"Austria 2010",2680950919139.13,93135.4689449163
"20","Austria",2014,859788,83923000700580,"Austria 2014",2610708592195.39,90695.2705761272
"21","Azerbaijan",2000,697039,22306153361760,"Azerbaijan 2000",111572592915.478,3400
"22","Azerbaijan",2006,851140,31221167477832,"Azerbaijan 2006",557553202599.931,16990.5604889531
"23","Azerbaijan",2010,1027599,29877876240552,"Azerbaijan 2010",553191339588.694,16857.6395461779
"24","Azerbaijan",2014,1052506,34780926770352,"Azerbaijan 2014",619862666874.987,18889.3438101912
"25","Bangladesh",2000,12443599,489961023624000,"Bangladesh 2000",24721644227685.1,812400
"26","Bangladesh",2006,11990438,523547013014100,"Bangladesh 2006",35472722578918.8,1165700.7744995
"27","Bangladesh",2010,12962824,647261479610460,"Bangladesh 2010",32685775192742.1,1074116.41078657
"28","Bangladesh",2014,13028164,702830676810024,"Bangladesh 2014",35123809757802,1154234.83909227
"29","Belarus",2000,2717479,77704963166880,"Belarus 2000",782353808752.238,23841.0068301694
"30","Belarus",2006,2152413,83307176220960,"Belarus 2006",954850265645.306,29097.5661527687
"31","Belarus",2010,2425501,99645739809876,"Belarus 2010",7916531518718.45,241243.897450992
"32","Belarus",2014,2440003,121968681946560,"Belarus 2014",10977797075261.3,334531.170071165
"33","Belgium",2000,369100,42712406384400,"Belgium 2000",1943470934870.75,67515.625
"34","Belgium",2006,384314,44943285614580,"Belgium 2006",1206277306217.3,41905.7289673302
"35","Belgium",2010,406410,52837092485964,"Belgium 2010",1351316177007.92,46944.337898919
"36","Belgium",2014,415921,56851680023532,"Belgium 2014",1395798396602.48,48489.6374984284
"37","Bolivia_(Plurinational_State_of)",2000,1733699,43600667907816,"Bolivia_(Plurinational_State_of) 2000",233902737912.147,7900
"38","Bolivia_(Plurinational_State_of)",2006,2193897,61454306468124,"Bolivia_(Plurinational_State_of) 2006",1072617154764.88,36227.3464529743
"39","Bolivia_(Plurinational_State_of)",2010,2502694,68564646917676,"Bolivia_(Plurinational_State_of) 2010",1113718223931.23,37615.5236471039
"40","Bolivia_(Plurinational_State_of)",2014,2981079,89062082164116,"Bolivia_(Plurinational_State_of) 2014",1323923605192.49,44715.1520088193
