"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg"
"1","Albania",2000,181200,215151041623.831,6000,8378368765200,"Albania 2000",43.39644344,3704.790476,1367.49,1900.8111,40791557.82
"2","Albania",2006,138518,116929075691.452,3260.8461890477,7494799053600,"Albania 2006",43.39644344,3704.790476,2460.23,2903.0714,38390400.6
"3","Albania",2010,142300,101619999153.874,2833.91607273403,10275671613600,"Albania 2010",43.39644344,3704.790476,2850.22,3078.2376,34663560.53
"4","Albania",2014,139569,111361412533.075,3105.57862121194,10425809424240,"Albania 2014",43.39644344,3704.790476,3693.01,3693.01,35800592.95
"5","Algeria",2000,1136373,236863532062.933,8000,16998622280424,"Algeria 2000",41.87419646,2764.443498,1098.37,1526.7343,18478652.26
"6","Algeria",2006,2713904,1539057807474.44,51981.2499313916,61613654610744,"Algeria 2006",41.87419646,2764.443498,2183.66,2576.7188,20249737.1
"7","Algeria",2010,2912741,1316968351798.68,44480.2402574581,67193760104784,"Algeria 2010",41.87419646,2764.443498,3697.93,3993.7644,21597724.56
"8","Algeria",2014,2615168,1430701149454.78,48321.5339058494,60841008931644,"Algeria 2014",41.87419646,2764.443498,4504.74,4504.74,24475881.82
"9","Argentina",2000,23303926,11025997417529.5,372400,935852337327816,"Argentina 2000",55.98132736,1798.839226,18722.26,26023.9414,159309678.9
"10","Argentina",2006,26371232,19090437370820.8,644774.219300204,1121441263015464,"Argentina 2006",55.98132736,1798.839226,17156.59,20244.7762,163600801
"11","Argentina",2010,28186718,20078225798772,678136.499068581,1381272000433524,"Argentina 2010",55.98132736,1798.839226,26247.11,28346.8788,167155513.6
"12","Argentina",2014,33267729,18430989167763.1,622501.539421984,1635633600267708,"Argentina 2014",55.98132736,1798.839226,38692.96,38692.96,187236520.4
"13","Australia",2000,18666586,24006243788768.7,810804.215564611,545692276151064,"Australia 2000",34.39855154,5323.713368,43398.56,60323.9984,151134179.7
"14","Australia",2006,19376273,17709370665524.4,598129.074958458,610941287040732,"Australia 2006",34.39855154,5323.713368,81587.48,96273.2264,157449809.2
"15","Australia",2010,21161956,19326734986255.7,652755.10562329,528655879556208,"Australia 2010",34.39855154,5323.713368,113066.94,122112.2952,143318240.5
"16","Australia",2014,20375094,28032894132801,946803.212420315,639061284641004,"Australia 2014",34.39855154,5323.713368,121830.24,121830.24,157259345.4
"17","Austria",2000,873387,2936120866196.78,102000,66065189952204,"Austria 2000",0,0,26027.47,36178.1833,109590070.7
"18","Austria",2006,827746,2415224737572.04,83904.2173190418,66314339135172,"Austria 2006",0,0,42497.45,50146.991,101811253.7
"19","Austria",2010,858896,2680950919139.13,93135.4689449163,71176665749940,"Austria 2010",0,0,52727.92,56946.1536,102087194
"20","Austria",2014,859788,2610708592195.39,90695.2705761272,83923000700580,"Austria 2014",0,0,55896.75,55896.75,98765594.52
"21","Azerbaijan",2000,697039,111572592915.478,3400,22306153361760,"Azerbaijan 2000",25.67930172,3135.51489,2944.02,4092.1878,11178611.71
"22","Azerbaijan",2006,851140,557553202599.931,16990.5604889531,31221167477832,"Azerbaijan 2006",25.67930172,3135.51489,3880.82,4579.3676,12886478.66
"23","Azerbaijan",2010,1027599,553191339588.694,16857.6395461779,29877876240552,"Azerbaijan 2010",25.67930172,3135.51489,6353.7,6861.996,13648272.81
"24","Azerbaijan",2014,1052506,619862666874.987,18889.3438101912,34780926770352,"Azerbaijan 2014",25.67930172,3135.51489,7785.32,7785.32,14479974.37
"25","Bangladesh",2000,12443599,24721644227685.1,812400,489961023624000,"Bangladesh 2000",65.05402331,453.6634146,7564.06,10514.0434,174123631.9
"26","Bangladesh",2006,11990438,35472722578918.8,1165700.7744995,523547013014100,"Bangladesh 2006",65.05402331,453.6634146,9484.98,11192.2764,204057769.5
"27","Bangladesh",2010,12962824,32685775192742.1,1074116.41078657,647261479610460,"Bangladesh 2010",65.05402331,453.6634146,13094.9,14142.492,223211636
"28","Bangladesh",2014,13028164,35123809757802,1154234.83909227,702830676810024,"Bangladesh 2014",65.05402331,453.6634146,18589.79,18589.79,243514579.1
"29","Belarus",2000,2717479,782353808752.238,23841.0068301694,77704963166880,"Belarus 2000",45.19041603,4593.538774,16379.36,22767.3104,193982319.3
"30","Belarus",2006,2152413,954850265645.306,29097.5661527687,83307176220960,"Belarus 2006",45.19041603,4593.538774,20439.1,24118.138,180549551.4
