"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"9",845,11668,11668,"Albania","Barley",2000,1200,1800
"10",846,11674,11674,"Albania","Barley",2006,2175,6000
"11",847,11678,11678,"Albania","Barley",2010,2500,7300
"12",848,11682,11682,"Albania","Barley",2014,2703,7300
"73",966,13344,13344,"Albania","Maize",2000,53000,205700
"74",967,13350,13350,"Albania","Maize",2006,48971,245400
"75",968,13354,13354,"Albania","Maize",2010,54200,362000
"76",969,13358,13358,"Albania","Maize",2014,55000,380000
"124",1033,14260,14260,"Albania","Potatoes",2000,11400,161000
"125",1034,14266,14266,"Albania","Potatoes",2006,9523,162600
"126",1035,14270,14270,"Albania","Potatoes",2010,9000,208000
"127",1036,14274,14274,"Albania","Potatoes",2014,9600,240000
"136",1053,14540,14540,"Albania","Rice, paddy",2000,NA,NA
"137",1054,14546,14546,"Albania","Rice, paddy",2006,NA,NA
"138",1055,14550,14550,"Albania","Rice, paddy",2010,NA,NA
"139",1056,14554,14554,"Albania","Rice, paddy",2014,0,0
"140",1061,14652,14652,"Albania","Rye",2000,1300,1500
"141",1062,14658,14658,"Albania","Rye",2006,1349,2600
"142",1063,14662,14662,"Albania","Rye",2010,1100,2300
"143",1064,14666,14666,"Albania","Rye",2014,1375,3070
"144",1069,14764,14764,"Albania","Sorghum",2000,NA,NA
"145",1070,14770,14770,"Albania","Sorghum",2006,NA,NA
"146",1071,14774,14774,"Albania","Sorghum",2010,NA,NA
"147",1072,14778,14778,"Albania","Sorghum",2014,0,0
"148",1073,14801,14801,"Albania","Soybeans",2000,400,600
"149",1074,14807,14807,"Albania","Soybeans",2006,200,400
"150",1075,14811,14811,"Albania","Soybeans",2010,300,500
"151",1076,14815,14815,"Albania","Soybeans",2014,207,350
"160",1089,15025,15025,"Albania","Sunflower seed",2000,1900,2900
"161",1090,15031,15031,"Albania","Sunflower seed",2006,1300,2200
"162",1091,15035,15035,"Albania","Sunflower seed",2010,1300,2600
"163",1092,15039,15039,"Albania","Sunflower seed",2014,686,2000
"176",1129,15585,15585,"Albania","Wheat",2000,112000,341100
"177",1130,15591,15591,"Albania","Wheat",2006,75000,230900
"178",1131,15595,15595,"Albania","Wheat",2010,73900,294900
"179",1132,15599,15599,"Albania","Wheat",2014,69998,280000
"196",1153,15921,15921,"Algeria","Barley",2000,215630,163287
"197",1154,15927,15927,"Algeria","Barley",2006,812280,1235880
"198",1155,15931,15931,"Algeria","Barley",2010,1018792,1503900
"199",1156,15935,15935,"Algeria","Barley",2014,791843,939401
"252",1273,17478,17478,"Algeria","Groundnuts, with shell",2000,4020,3894
"253",1274,17484,17484,"Algeria","Groundnuts, with shell",2006,2718,2995
"254",1275,17488,17488,"Algeria","Groundnuts, with shell",2010,2524,3385
"255",1276,17492,17492,"Algeria","Groundnuts, with shell",2014,2255,3459
"260",1285,17646,17646,"Algeria","Maize",2000,430,1556
"261",1286,17652,17652,"Algeria","Maize",2006,374,2456
"262",1287,17656,17656,"Algeria","Maize",2010,139,359
"263",1288,17660,17660,"Algeria","Maize",2014,983,2572
"300",1341,18385,18385,"Algeria","Potatoes",2000,72690,1207690
"301",1342,18391,18391,"Algeria","Potatoes",2006,98825,2180961
"302",1343,18395,18395,"Algeria","Potatoes",2010,121996,3300312
"303",1344,18399,18399,"Algeria","Potatoes",2014,156176,4673516
"312",1361,18639,18639,"Algeria","Rapeseed",2000,16000,29000
"313",1362,18645,18645,"Algeria","Rapeseed",2006,15000,29000
"314",1363,18649,18649,"Algeria","Rapeseed",2010,13154,25660
"315",1364,18653,18653,"Algeria","Rapeseed",2014,12165,23977
"316",1365,18695,18695,"Algeria","Rice, paddy",2000,335,437
"317",1366,18701,18701,"Algeria","Rice, paddy",2006,282,360
"318",1367,18705,18705,"Algeria","Rice, paddy",2010,203,311
"319",1368,18709,18709,"Algeria","Rice, paddy",2014,180,320
"320",1377,18863,18863,"Algeria","Sorghum",2000,120,834
"321",1378,18869,18869,"Algeria","Sorghum",2006,437,2479
"322",1379,18873,18873,"Algeria","Sorghum",2010,35,106
"323",1380,18877,18877,"Algeria","Sorghum",2014,75,465
"332",1389,19008,19008,"Algeria","Sunflower seed",2000,148,57
"333",1390,19014,19014,"Algeria","Sunflower seed",2006,163,66
"334",1391,19018,19018,"Algeria","Sunflower seed",2010,170,70
"335",1392,19022,19022,"Algeria","Sunflower seed",2014,180,80
"352",1433,19616,19616,"Algeria","Wheat",2000,827000,760361
"353",1434,19622,19622,"Algeria","Wheat",2006,1783825,2687930
"354",1435,19626,19626,"Algeria","Wheat",2010,1755728,2605178
"355",1436,19630,19630,"Algeria","Wheat",2014,1651311,2436197
"380",2546,35029,35029,"Argentina","Barley",2000,247830,722490
"381",2547,35035,35035,"Argentina","Barley",2006,337592,1268465
"382",2548,35039,35039,"Argentina","Barley",2010,746435,2964075
"383",2549,35043,35043,"Argentina","Barley",2014,888873,2901492
"388",2570,35365,35365,"Argentina","Cassava",2000,17000,170000
"389",2571,35371,35371,"Argentina","Cassava",2006,17200,172000
"390",2572,35375,35375,"Argentina","Cassava",2010,18000,181800
"391",2573,35379,35379,"Argentina","Cassava",2014,18642,186057
"424",2650,36470,36470,"Argentina","Groundnuts, with shell",2000,219260,419600
"425",2651,36476,36476,"Argentina","Groundnuts, with shell",2006,163677,347323
"426",2652,36480,36480,"Argentina","Groundnuts, with shell",2010,218828,611040
"427",2653,36484,36484,"Argentina","Groundnuts, with shell",2014,409312,1165924
"436",2674,36806,36806,"Argentina","Maize",2000,3088715,16780650
"437",2675,36812,36812,"Argentina","Maize",2006,2447166,14445538
"438",2676,36816,36816,"Argentina","Maize",2010,2904035,22663095
"439",2677,36820,36820,"Argentina","Maize",2014,4836655,33087165
"448",2690,37030,37030,"Argentina","Millet",2000,31650,47920
"449",2691,37036,37036,"Argentina","Millet",2006,9770,15518
"450",2692,37040,37040,"Argentina","Millet",2010,6675,9115
"451",2693,37044,37044,"Argentina","Millet",2014,2250,2670
"492",2754,37916,37916,"Argentina","Potatoes",2000,80000,2220529
"493",2755,37922,37922,"Argentina","Potatoes",2006,68000,1943632
"494",2756,37926,37926,"Argentina","Potatoes",2010,66799,1936154
"495",2757,37930,37930,"Argentina","Potatoes",2014,62890,1824737
"504",2770,38140,38140,"Argentina","Rapeseed",2000,3725,6015
"505",2771,38146,38146,"Argentina","Rapeseed",2006,6160,9140
"506",2772,38150,38150,"Argentina","Rapeseed",2010,12405,23335
"507",2773,38154,38154,"Argentina","Rapeseed",2014,54600,104848
"508",2774,38196,38196,"Argentina","Rice, paddy",2000,189050,903630
"509",2775,38202,38202,"Argentina","Rice, paddy",2006,169025,1193492
"510",2776,38206,38206,"Argentina","Rice, paddy",2010,215670,1243259
"511",2777,38210,38210,"Argentina","Rice, paddy",2014,243200,1581810
"512",2782,38308,38308,"Argentina","Rye",2000,89495,129750
"513",2783,38314,38314,"Argentina","Rye",2006,14750,17483
"514",2784,38318,38318,"Argentina","Rye",2010,24100,44460
"515",2785,38322,38322,"Argentina","Rye",2014,51112,97398
"516",2794,38469,38469,"Argentina","Sorghum",2000,719598,3344493
"517",2795,38475,38475,"Argentina","Sorghum",2006,497640,2327865
"518",2796,38479,38479,"Argentina","Sorghum",2010,755235,3637427
"519",2797,38483,38483,"Argentina","Sorghum",2014,787657,3466410
"520",2798,38525,38525,"Argentina","Soybeans",2000,8637503,20135800
"521",2799,38531,38531,"Argentina","Soybeans",2006,15130038,40537364
"522",2800,38535,38535,"Argentina","Soybeans",2010,18130800,52675464
"523",2801,38539,38539,"Argentina","Soybeans",2014,19252552,53397715
"532",2814,38749,38749,"Argentina","Sugar cane",2000,280000,18400000
"533",2815,38755,38755,"Argentina","Sugar cane",2006,315000,26450000
"534",2816,38759,38759,"Argentina","Sugar cane",2010,266962,18889878
"535",2817,38763,38763,"Argentina","Sugar cane",2014,366961,24518477
"536",2818,38805,38805,"Argentina","Sunflower seed",2000,3477120,6069655
