"","country","year","N_area","Nt_area","yield","cropsuit","manure_area","netcap_area","netcap14_area","market","IFA_Region"
"1","Albania",2000,1187367.77938097,0.033112582781457,46238238.218543,43.39644344,225.118972516556,0.00754685430463576,0.0104901274834437,3704.790476,"IFA"
"5","Algeria",2000,208438.19068469,0.007039941990878,14958664.3473789,41.87419646,16.2610799975008,0.000966557635565083,0.00134351511343547,2764.443498,"IFA"
"9","Argentina",2000,473139.05036986,0.0159801399987281,40158569.7331778,55.98132736,6.8361733941311,0.000803395101752383,0.00111671919143581,1798.839226,"IFA"
"13","Australia",2000,1286054.33199026,0.0434361278256565,29233641.124899,34.39855154,8.09650890098489,0.00232493290417434,0.00323165673680233,5323.713368,"IFA"
"21","Azerbaijan",2000,160066.499744603,0.00487777584898406,32001298.8681552,25.67930172,16.0372830071201,0.00422360872203707,0.00587081612363153,3135.51489,"IFA"
"25","Bangladesh",2000,1986695.6680045,0.0652865782640537,39374542.9777993,65.05402331,13.9930282147472,0.000607867547001474,0.00084493589033205,453.6634146,"IFA"
"37","Bolivia_(Plurinational_State_of)",2000,134915.425291326,0.00455673101270751,25148926.0291527,37.65271672,29.0194785773078,0.000601603853956194,0.00083622935699911,389.7105322,"IFA"
"41","Brazil",2000,948240.9334864,0.0320265741282438,43374847.113015,37.46278576,35.3110255518012,0.00111880552547037,0.00155513968040382,874.8070531,"IFA"
"49","Cambodia",2000,152131.786548252,0.00499933832286903,25487204.9515564,55.34789973,28.5340825871086,0.000306841741534209,0.00042651002073255,353.1302605,"IFA"
"53","Canada",2000,1861523.04406734,0.0597205080224549,37635400.8272899,52.90569057,10.6834701256762,0.00101212626875588,0.00140685551357067,6632.006585,"IFA"
"57","Chile",2000,2032140.25082659,0.0686349724882652,61809049.2680971,50.55634595,170.34209980119,0.00873810643370373,0.0121459679428482,1766.421086,"IFA"
"61","China,_mainland",2000,4693633.94791498,0.116945544691196,56082730.0037767,54.92953288,40.7544825306414,0.000541014782123611,0.000752010547151819,1661.629198,"IFA"
"65","Colombia",2000,1711171.39352674,0.0577943384909786,61341875.1165328,37.82340166,140.533377601697,0.00366504473474786,0.00509441218129952,1615.282682,"IFA"
"69","Costa_Rica",2000,3182521.07093054,0.107488765137048,75788931.4169764,59.11021155,150.460851048015,0.00797606659729449,0.0110867325702393,3133.77,"IFA"
"89","Dominican_Republic",2000,2730713.99235397,0.0922291065600908,48743019.7490017,55.50645739,98.4586391983838,0.00608992506807386,0.00846499584462267,3466.064348,"IFA"
"93","Ecuador",2000,1508589.49177497,0.050952191032063,37771758.7374434,41.67266981,69.5283888477953,0.00352282570309631,0.00489672772730387,711.0737179,"IFA"
"97","Egypt",2000,4763867.4434193,0.160898299604975,99304605.5310442,33.72700312,8.19766092537857,0.00574058349430275,0.00797941105708082,3125.35044,"IFA"
"101","El_Salvador",2000,2255692.13203526,0.076185375178343,41539231.0259261,50.91787733,38.5480085373793,0.00614732866370852,0.00854478684255484,4761.958848,"IFA"
"109","Ethiopia",2000,280255.264398823,0.0094655437063857,18587024.1032731,48.10677865,10.0369612002994,0.00139551606863232,0.00193976733539893,47.8697192,"IFA"
"129","Guatemala",2000,2682529.33619508,0.0906016831829511,46841910.2937458,47.5886423,45.8619590949761,0.0035397840678689,0.00492029985433777,1496.343564,"IFA"
"133","Guinea",2000,175743.8697809,0.0059357003841083,20202111.7266427,47.21394846,3.3422776018629,0.000466591709424637,0.000648562476100245,98.28548958,"IFA"
"137","Honduras",2000,2363601.91022571,0.0798299979617873,35436693.6853603,49.62899047,42.2279127946916,0.00198691769395104,0.00276181559459194,1144.808546,"IFA"
"145","India",2000,1591534.00061249,0.0446912303927187,29637174.9199348,63.79775131,15.1067540734885,0.00107549396821981,0.00149493661582554,1255.704127,"IFA"
"149","Indonesia",2000,2535129.64238948,0.0833091562401336,56843790.3588652,59.30161483,19.5719168000285,0.00168966755074668,0.00234863789553789,288.4772941,"IFA"
"161","Israel",2000,4100745.64865493,0.138501545187307,43039466.529547,68.87929533,81.7877586681239,0.0206579294490088,0.0287145219341223,21093.20833,"IFA"
"169","Japan",2000,2402594.20820493,0.080145137772683,72581000.8605357,44.71204462,78.6898436697325,0.113487362461761,0.157747433821848,16487.80529,"IFA"
"173","Jordan",2000,1289720.02974563,0.0435599357490948,29616339.8821704,30.643428,76.2808344450192,0.0100106177343388,0.013914758650731,2463.525316,"IFA"
"177","Kenya",2000,474532.357988661,0.0160271985765231,22221182.4492849,36.83373688,18.9886687799517,0.000971187489252899,0.00134995061006153,151.0185151,"IFA"
"181","Kuwait",2000,2871769.3024119,0.0969932104752667,81081036.8205626,0.942446083,1409.13471629486,0.155838991270611,0.216616197866149,39538.25,"IFA"
"185","Lao_People's_Democratic_Republic",2000,436563.882161525,0.0143463150994966,35431295.0165007,44.64062245,44.0634003116613,0.000209184115166281,0.000290765920081131,85.41593245,"IFA"
"193","Lebanon",2000,1607695.28089896,0.0542994615303398,39621115.7856378,52.06455319,59.5054148328029,0.0136216232522361,0.0189340563206082,11203.60305,"IFA"
"205","Madagascar",2000,35394.6975563488,0.00119544607810525,24597171.6079872,52.87974302,13.4839254914843,0.000559884571884771,0.000778239554919832,66.67929515,"IFA"
"209","Malawi",2000,478384.042120039,0.0161572881381481,29307953.1664168,58.38160134,4.31057633329424,0.000281537212872507,0.000391336725892784,123.7184154,"IFA"
"213","Malaysia",2000,2522719.75222799,0.0829013437712562,113852288.978294,56.40091379,12.158524660972,0.00398676820992382,0.00554160781179411,1720.746146,"IFA"
"221","Mauritania",2000,477026.968330318,0.0161114533478652,11513883.3200588,36.19412837,34.5465724494148,0.00119670189072644,0.00166341562810975,3.215294118,"IFA"
"225","Mexico",2000,2239159.21901806,0.0756269806336629,43100625.3670914,49.60464179,36.7058587117641,0.000692339217520468,0.000962351512353451,2606.495219,"IFA"
"229","Morocco",2000,328549.528848752,0.0110966690731086,6052990.67558456,49.72109747,4.65748854341482,0.00112626699053061,0.00156551111683755,2152.145128,"IFA"
"233","Myanmar",2000,475607.445978292,0.0156293604727174,33511363.5213075,51.85157828,25.1140137362468,0.000208683458740628,0.000290070007649473,77.39926601,"IFA"
