ITEM;CALORIES(kcal)
CEREALS AND PRODUCTS;
WHEAT;334
FLOUR OF WHEAT;364
BRAN OF WHEAT;213
MACARONI;367
GERM OF WHEAT;382
BREAD;249
BULGUR WHOLEMEAL;345
PASTRY;369
WHEAT STARCH;362
WHEAT GLUTEN;380
RICE PADDY;280
RICE HUSKED;357
RICE MILLED;360
RICE BROKEN;360
RICE FLOUR;366
RICE GLUTEN;380
RICE STARCH;362
BRAN OF RICE;276
BARLEY;332
POT BARLEY;348
BARLEY PEARLED;346
BARLEY FLOUR AND GRITS;343
MALT OF BARLEY;368
MALT EXTRACTS;367
MAIZE;356
GERM OF MAIZE;373
FLOUR OF MAIZE;363
MAIZE GLUTEN;380
STARCH OF MAIZE;362
POP CORN;356
RYE;319
FLOUR OF RYE;341
OATS;385
OATS ROLLED;384
MILLET;340
FLOUR OF MILLET;340
SORGHUM;343
FLOUR OF SORGHM;343
BUCKWHEAT;330
FLOUR OF BUCKWHEAT;344
QUINOA;342
FONIO;338
FLOUR OF FONIO;355
TRITICALE;327
FLOUR OF TRITICALE;341
CANARY SEED;388
MIXED GRAIN;340
FLOUR OF MIXED GRAIN;364
CEREALS NES;340
WAFERS;439
FLOUR OF CEREALS;364
BREAKFAST CEREALS;389
CEREALS PREPARED NES;364
MIXES AND DOUGHS;393
FOOD PREPARATIONS FLOUR;377
ROOTS, TUBERS AND PRODUCTS;
POTATOES;67
FLOUR OF POTATOES;349
POTATOES FROZEN;73
POTATO STARCH;362
POTATO TAPIOCA;362
SWEET POTATOES;92
CASSAVA;109
FLOUR OF CASSAVA;338
CASSAVA TAPIOCA;362
CASSAVA DRIED;255
CASSAVA STARCH;362
YAUTIA (COCOYAM);109
TARO (COCOYAM);86
YAMS;101
ROOTS, TUBERS NES;91
FLOUR OF ROOTS AND TUBERS;282
ROOTS, TUBERS DRIED;282
SUGAR AND SYRUPS;
SUGAR CANE;30
SUGAR BEETS;70
SUGAR CROPS NES;390
SUGAR, CENTRIFUGAL RAW;373
SUGAR REFINED;387
SUGAR, NONCENTRIFUGAL;351
MOLASSES;232
MAPLE SUGAR;348
SUGAR AND SYRUP NES;310
SUGAR CONFECTIONERY;310
SUGARS FLAVOURED;310
GLUCOSE AND DEXTROSE;368
LACTOSE;387
ISOGLUCOSE;318
FRUCTOSE CHEMICAL;375
OTHER FRUCTOSE;298
MALTOSE CHEMICAL;375
HONEY;298
PULSES;
BEANS, DRY;341
BROAD BEANS DRY;343
PEAS, DRY;346
CHICK-PEAS;358
COW PEAS DRY;342
PIGEON PEAS;343
LENTILS;346
BAMBARA BEANS;365
VETCHES;325
LUPINS;390
PULSES NES;340
FLOUR OF PULSES;340
TREENUTS;
BRAZIL NUTS;315
CASHEW NUTS;252
CHESTNUTS;158
