"","ITEM","kcal_100g","kj_100g","kj_t"
"1","CEREALS AND PRODUCTS",NA,NA,NA
"2","WHEAT",334,1398.3912,13983912
"3","FLOUR OF WHEAT",364,1523.9952,15239952
"4","BRAN OF WHEAT",213,891.7884,8917884
"5","MACARONI",367,1536.5556,15365556
"6","GERM OF WHEAT",382,1599.3576,15993576
"7","BREAD",249,1042.5132,10425132
"8","BULGUR WHOLEMEAL",345,1444.446,14444460
"9","PASTRY",369,1544.9292,15449292
"10","WHEAT STARCH",362,1515.6216,15156216
"11","WHEAT GLUTEN",380,1590.984,15909840
"12","RICE, PADDY",280,1172.304,11723040
"13","RICE HUSKED",357,1494.6876,14946876
"14","RICE MILLED",360,1507.248,15072480
"15","RICE BROKEN",360,1507.248,15072480
"16","RICE FLOUR",366,1532.3688,15323688
"17","RICE GLUTEN",380,1590.984,15909840
"18","RICE STARCH",362,1515.6216,15156216
"19","BRAN OF RICE",276,1155.5568,11555568
"20","BARLEY",332,1390.0176,13900176
"21","POT BARLEY",348,1457.0064,14570064
"22","BARLEY PEARLED",346,1448.6328,14486328
"23","BARLEY FLOUR AND GRITS",343,1436.0724,14360724
"24","MALT OF BARLEY",368,1540.7424,15407424
"25","MALT EXTRACTS",367,1536.5556,15365556
"26","MAIZE",356,1490.5008,14905008
"27","GERM OF MAIZE",373,1561.6764,15616764
"28","FLOUR OF MAIZE",363,1519.8084,15198084
"29","MAIZE GLUTEN",380,1590.984,15909840
"30","STARCH OF MAIZE",362,1515.6216,15156216
"31","POP CORN",356,1490.5008,14905008
"32","RYE",319,1335.5892,13355892
"33","FLOUR OF RYE",341,1427.6988,14276988
"34","OATS",385,1611.918,16119180
"35","OATS ROLLED",384,1607.7312,16077312
"36","MILLET",340,1423.512,14235120
"37","FLOUR OF MILLET",340,1423.512,14235120
"38","SORGHUM",343,1436.0724,14360724
"39","FLOUR OF SORGHM",343,1436.0724,14360724
"40","BUCKWHEAT",330,1381.644,13816440
"41","FLOUR OF BUCKWHEAT",344,1440.2592,14402592
"42","QUINOA",342,1431.8856,14318856
"43","FONIO",338,1415.1384,14151384
"44","FLOUR OF FONIO",355,1486.314,14863140
"45","TRITICALE",327,1369.0836,13690836
"46","FLOUR OF TRITICALE",341,1427.6988,14276988
"47","CANARY SEED",388,1624.4784,16244784
"48","MIXED GRAIN",340,1423.512,14235120
"49","FLOUR OF MIXED GRAIN",364,1523.9952,15239952
"50","CEREALS NES",340,1423.512,14235120
"51","WAFERS",439,1838.0052,18380052
"52","FLOUR OF CEREALS",364,1523.9952,15239952
"53","BREAKFAST CEREALS",389,1628.6652,16286652
"54","CEREALS PREPARED NES",364,1523.9952,15239952
"55","MIXES AND DOUGHS",393,1645.4124,16454124
"56","FOOD PREPARATIONS FLOUR",377,1578.4236,15784236
"57","ROOTS, TUBERS AND PRODUCTS",NA,NA,NA
"58","POTATOES",67,280.5156,2805156
"59","FLOUR OF POTATOES",349,1461.1932,14611932
"60","POTATOES FROZEN",73,305.6364,3056364
"61","POTATO STARCH",362,1515.6216,15156216
"62","POTATO TAPIOCA",362,1515.6216,15156216
"63","SWEET POTATOES",92,385.1856,3851856
"64","CASSAVA",109,456.3612,4563612
"65","FLOUR OF CASSAVA",338,1415.1384,14151384
"66","CASSAVA TAPIOCA",362,1515.6216,15156216
"67","CASSAVA DRIED",255,1067.634,10676340
"68","CASSAVA STARCH",362,1515.6216,15156216
"69","YAUTIA (COCOYAM)",109,456.3612,4563612
"70","TARO (COCOYAM)",86,360.0648,3600648
"71","YAMS",101,422.8668,4228668
"72","ROOTS, TUBERS NES",91,380.9988,3809988
"73","FLOUR OF ROOTS AND TUBERS",282,1180.6776,11806776
"74","ROOTS, TUBERS DRIED",282,1180.6776,11806776
"75","SUGAR AND SYRUPS",NA,NA,NA
"76","SUGAR CANE",30,125.604,1256040
"77","SUGAR BEETS",70,293.076,2930760
"78","SUGAR CROPS NES",390,1632.852,16328520
"79","SUGAR, CENTRIFUGAL RAW",373,1561.6764,15616764
"80","SUGAR REFINED",387,1620.2916,16202916
"81","SUGAR, NONCENTRIFUGAL",351,1469.5668,14695668
"82","MOLASSES",232,971.3376,9713376
"83","MAPLE SUGAR",348,1457.0064,14570064
"84","SUGAR AND SYRUP NES",310,1297.908,12979080
"85","SUGAR CONFECTIONERY",310,1297.908,12979080
"86","SUGARS FLAVOURED",310,1297.908,12979080
"87","GLUCOSE AND DEXTROSE",368,1540.7424,15407424
"88","LACTOSE",387,1620.2916,16202916
"89","ISOGLUCOSE",318,1331.4024,13314024
"90","FRUCTOSE CHEMICAL",375,1570.05,15700500
"91","OTHER FRUCTOSE",298,1247.6664,12476664
"92","MALTOSE CHEMICAL",375,1570.05,15700500
"93","HONEY",298,1247.6664,12476664
"94","PULSES",NA,NA,NA
"95","BEANS, DRY",341,1427.6988,14276988
"96","BROAD BEANS DRY",343,1436.0724,14360724
"97","PEAS, DRY",346,1448.6328,14486328
"98","CHICK-PEAS",358,1498.8744,14988744
"99","COW PEAS DRY",342,1431.8856,14318856
"100","PIGEON PEAS",343,1436.0724,14360724
"101","LENTILS",346,1448.6328,14486328
"102","BAMBARA BEANS",365,1528.182,15281820
"103","VETCHES",325,1360.71,13607100
"104","LUPINS",390,1632.852,16328520
"105","PULSES NES",340,1423.512,14235120
"106","FLOUR OF PULSES",340,1423.512,14235120
"107","TREENUTS",NA,NA,NA
"108","BRAZIL NUTS",315,1318.842,13188420
"109","CASHEW NUTS",252,1055.0736,10550736
"110","CHESTNUTS",158,661.5144,6615144
"111","ALMONDS",236,988.0848,9880848
"112","WALNUTS",289,1209.9852,12099852
"113","PISTACHIOS",289,1209.9852,12099852
"114","KOLANUTS",349,1461.1932,14611932
"115","HAZELNUTS",291,1218.3588,12183588
"116","ARECANUTS",245,1025.766,10257660
"117","BRAZILNUT SHELLED",656,2746.5408,27465408
"118","CASHEW NUTS SHELLED",574,2403.2232,24032232
"119","ALMONDS SHELLED",589,2466.0252,24660252
"120","WALNUTS SHELLED",642,2687.9256,26879256
"121","HAZELNUTS SHELLED",632,2646.0576,26460576
"122","NUTS NES",262,1096.9416,10969416
"123","PREPARED NUTS",615,2574.882,25748820
"124","SOYBEANS",335,1402.578,14025780
"125","CAKE OF SOYA BEANS",261,1092.7548,10927548
"126","SOYA SAUCE",56,234.4608,2344608
"127","SOYA PASTE",114,477.2952,4772952
"128","SOYA CURD",58,242.8344,2428344
"129","GROUNDNUTS, WITH SHELL",414,1733.3352,17333352
"130","GROUNDNUTS SHELLED",567,2373.9156,23739156
"131","CAKE OF GROUNDNUTS",363,1519.8084,15198084
"132","GROUNDNUTS PREPARED",580,2428.344,24283440
"133","PEANUT BUTTER",589,2466.0252,24660252
