Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
GU;Manure applied to Soils;2;Afghanistan;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;57867594.92;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;54911322.82;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;73831252.36;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;73746618.07;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;17360278.48;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;16473396.85;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;22149375.71;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;22123985.42;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;11573518.98;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;10982264.56;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;14766250.47;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;2;Afghanistan;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;14749323.61;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;40791557.82;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;38390400.6;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;34663560.53;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;35800592.95;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;12237467.35;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;11517120.18;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;10399068.16;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;10740177.89;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;8158311.564;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;7678080.12;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;6932712.107;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;3;Albania;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;7160118.591;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;18478652.26;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;20249737.1;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;21597724.56;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;24475881.82;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;5543595.677;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;6074921.13;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;6479317.367;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;7342764.546;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;3695730.452;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;4049947.42;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;4319544.912;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;4;Algeria;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;4895176.364;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;79929.6619;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;80842.1465;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;80673.5348;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;80680.319;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;23978.8986;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;24252.644;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;24202.0604;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;24204.0957;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;15985.9324;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;16168.4293;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;16134.707;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;5;American Samoa;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;16136.0638;A;Aggregate, may include official, semi-official, estimated or calculated data
